        // -------------------------------------
        // Power Treads
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_power_treads_2"            "Power Treads 2"
        "DOTA_Tooltip_ability_item_power_treads_6_Lore"            "A pair of tough-skinned boots that change to meet the demands of the wearer."
        "DOTA_Tooltip_ability_item_power_treads_6_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_power_treads_6_bonus_movement_speed"            "%+$move_speed"
        "DOTA_Tooltip_ability_item_power_treads_6_bonus_stat"            "+$selected_attrib"

        "DOTA_Tooltip_Ability_item_power_treads_7"            "Power Treads 7"
        "DOTA_Tooltip_ability_item_power_treads_7_Description"            "<h1>Active: Switch Attribute</h1>Switches between +%bonus_stat% Strength, +%bonus_stat% Agility, or +%bonus_stat% Intelligence.\nMovement speed bonuses from multiple pairs of boots do not stack."
        "DOTA_Tooltip_ability_item_power_treads_7_Lore"            "A pair of tough-skinned boots that change to meet the demands of the wearer."
        "DOTA_Tooltip_ability_item_power_treads_7_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_power_treads_7_bonus_movement_speed"            "%+$move_speed"
        "DOTA_Tooltip_ability_item_power_treads_7_bonus_stat"            "+$selected_attrib"

        "DOTA_Tooltip_Ability_item_power_treads_8"            "Power Treads 8"
        "DOTA_Tooltip_ability_item_power_treads_8_Description"            "<h1>Active: Switch Attribute</h1>Switches between +%bonus_stat% Strength, +%bonus_stat% Agility, or +%bonus_stat% Intelligence.\nMovement speed bonuses from multiple pairs of boots do not stack."
        "DOTA_Tooltip_ability_item_power_treads_8_Lore"            "A pair of tough-skinned boots that change to meet the demands of the wearer."
        "DOTA_Tooltip_ability_item_power_treads_8_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_power_treads_8_bonus_movement_speed"            "%+$move_speed"
        "DOTA_Tooltip_ability_item_power_treads_8_bonus_stat"            "+$selected_attrib"

        "DOTA_Tooltip_Ability_item_power_treads_9"            "Power Treads 9"
        "DOTA_Tooltip_ability_item_power_treads_9_Description"            "<h1>Active: Switch Attribute</h1>Switches between +%bonus_stat% Strength, +%bonus_stat% Agility, or +%bonus_stat% Intelligence.\nMovement speed bonuses from multiple pairs of boots do not stack."
        "DOTA_Tooltip_ability_item_power_treads_9_Lore"            "A pair of tough-skinned boots that change to meet the demands of the wearer."
        "DOTA_Tooltip_ability_item_power_treads_9_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_power_treads_9_bonus_movement_speed"            "%+$move_speed"
        "DOTA_Tooltip_ability_item_power_treads_9_bonus_stat"            "+$selected_attrib"

        "DOTA_Tooltip_Ability_item_power_treads_10"            "Power Treads 10"
        "DOTA_Tooltip_ability_item_power_treads_10_Description"            "<h1>Active: Switch Attribute</h1>Switches between +%bonus_stat% Strength, +%bonus_stat% Agility, or +%bonus_stat% Intelligence.\nMovement speed bonuses from multiple pairs of boots do not stack."
        "DOTA_Tooltip_ability_item_power_treads_10_Lore"            "A pair of tough-skinned boots that change to meet the demands of the wearer."
        "DOTA_Tooltip_ability_item_power_treads_10_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_power_treads_10_bonus_movement_speed"            "%+$move_speed"
        "DOTA_Tooltip_ability_item_power_treads_10_bonus_stat"            "+$selected_attrib"

