        // -------------------------------------
        // Bloodstone
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_bloodstone_2"            "Bloodstone 2"
        "DOTA_Tooltip_ability_item_bloodstone_5_Lore"            "The Bloodstone's bright ruby color is unmistakable on the battlefield, as the owner seems to have infinite vitality and spirit."
        "DOTA_Tooltip_ability_item_bloodstone_5_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_bloodstone_5_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_bloodstone_5_bonus_health_regen"            "+$health_regen"
        "DOTA_Tooltip_ability_item_bloodstone_5_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_bloodstone_5_mana_regen_multiplier"            "%+Mana Regeneration"
        "DOTA_Tooltip_modifier_item_bloodstone_5_active"            "Bloodpact"
        "DOTA_Tooltip_modifier_item_bloodstone_5_active_Description"            "Quickly regenerating health!"

        "DOTA_Tooltip_Ability_item_bloodstone_6"            "Bloodstone 6"
        "DOTA_Tooltip_ability_item_bloodstone_6_Description"            "<h1>Active: Bloodpact</h1> Converts %mana_cost_percentage%%% of your current mana to health regeneration over %restore_duration% seconds.\n <h1>Passive: Mana Battery</h1>Each charge provides %regen_per_charge% HP and MP regen. Nearby kills provide %kill_charges% charges. Dying causes you to lose %death_charges% charges. Starts with %initial_charges_tooltip% charges."
        "DOTA_Tooltip_ability_item_bloodstone_6_Lore"            "The Bloodstone's bright ruby color is unmistakable on the battlefield, as the owner seems to have infinite vitality and spirit."
        "DOTA_Tooltip_ability_item_bloodstone_6_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_bloodstone_6_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_bloodstone_6_bonus_health_regen"            "+$health_regen"
        "DOTA_Tooltip_ability_item_bloodstone_6_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_bloodstone_6_mana_regen_multiplier"            "%+Mana Regeneration"
        "DOTA_Tooltip_modifier_item_bloodstone_6_active"            "Bloodpact"
        "DOTA_Tooltip_modifier_item_bloodstone_6_active_Description"            "Quickly regenerating health!"

        "DOTA_Tooltip_Ability_item_bloodstone_7"            "Bloodstone 7"
        "DOTA_Tooltip_ability_item_bloodstone_7_Description"            "<h1>Active: Bloodpact</h1> Converts %mana_cost_percentage%%% of your current mana to health regeneration over %restore_duration% seconds.\n <h1>Passive: Mana Battery</h1>Each charge provides %regen_per_charge% HP and MP regen. Nearby kills provide %kill_charges% charges. Dying causes you to lose %death_charges% charges. Starts with %initial_charges_tooltip% charges."
        "DOTA_Tooltip_ability_item_bloodstone_7_Lore"            "The Bloodstone's bright ruby color is unmistakable on the battlefield, as the owner seems to have infinite vitality and spirit."
        "DOTA_Tooltip_ability_item_bloodstone_7_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_bloodstone_7_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_bloodstone_7_bonus_health_regen"            "+$health_regen"
        "DOTA_Tooltip_ability_item_bloodstone_7_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_bloodstone_7_mana_regen_multiplier"            "%+Mana Regeneration"
        "DOTA_Tooltip_modifier_item_bloodstone_7_active"            "Bloodpact"
        "DOTA_Tooltip_modifier_item_bloodstone_7_active_Description"            "Quickly regenerating health!"

        "DOTA_Tooltip_Ability_item_bloodstone_8"            "Bloodstone 8"
        "DOTA_Tooltip_ability_item_bloodstone_8_Description"            "<h1>Active: Bloodpact</h1> Converts %mana_cost_percentage%%% of your current mana to health regeneration over %restore_duration% seconds.\n <h1>Passive: Mana Battery</h1>Each charge provides %regen_per_charge% HP and MP regen. Nearby kills provide %kill_charges% charges. Dying causes you to lose %death_charges% charges. Starts with %initial_charges_tooltip% charges."
        "DOTA_Tooltip_ability_item_bloodstone_8_Lore"            "The Bloodstone's bright ruby color is unmistakable on the battlefield, as the owner seems to have infinite vitality and spirit."
        "DOTA_Tooltip_ability_item_bloodstone_8_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_bloodstone_8_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_bloodstone_8_bonus_health_regen"            "+$health_regen"
        "DOTA_Tooltip_ability_item_bloodstone_8_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_bloodstone_8_mana_regen_multiplier"            "%+Mana Regeneration"
        "DOTA_Tooltip_modifier_item_bloodstone_8_active"            "Bloodpact"
        "DOTA_Tooltip_modifier_item_bloodstone_8_active_Description"            "Quickly regenerating health!"

        "DOTA_Tooltip_Ability_item_bloodstone_9"            "Bloodstone 9"
        "DOTA_Tooltip_ability_item_bloodstone_9_Description"            "<h1>Active: Bloodpact</h1> Converts %mana_cost_percentage%%% of your current mana to health regeneration over %restore_duration% seconds.\n <h1>Passive: Mana Battery</h1>Each charge provides %regen_per_charge% HP and MP regen. Nearby kills provide %kill_charges% charges. Dying causes you to lose %death_charges% charges. Starts with %initial_charges_tooltip% charges."
        "DOTA_Tooltip_ability_item_bloodstone_9_Lore"            "The Bloodstone's bright ruby color is unmistakable on the battlefield, as the owner seems to have infinite vitality and spirit."
        "DOTA_Tooltip_ability_item_bloodstone_9_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_bloodstone_9_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_bloodstone_9_bonus_health_regen"            "+$health_regen"
        "DOTA_Tooltip_ability_item_bloodstone_9_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_bloodstone_9_mana_regen_multiplier"            "%+Mana Regeneration"
        "DOTA_Tooltip_modifier_item_bloodstone_9_active"            "Bloodpact"
        "DOTA_Tooltip_modifier_item_bloodstone_9_active_Description"            "Quickly regenerating health!"

        "DOTA_Tooltip_Ability_item_bloodstone_10"            "Bloodstone 10"
        "DOTA_Tooltip_ability_item_bloodstone_10_Description"            "<h1>Active: Bloodpact</h1> Converts %mana_cost_percentage%%% of your current mana to health regeneration over %restore_duration% seconds.\n <h1>Passive: Mana Battery</h1>Each charge provides %regen_per_charge% HP and MP regen. Nearby kills provide %kill_charges% charges. Dying causes you to lose %death_charges% charges. Starts with %initial_charges_tooltip% charges."
        "DOTA_Tooltip_ability_item_bloodstone_10_Lore"            "The Bloodstone's bright ruby color is unmistakable on the battlefield, as the owner seems to have infinite vitality and spirit."
        "DOTA_Tooltip_ability_item_bloodstone_10_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_bloodstone_10_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_bloodstone_10_bonus_health_regen"            "+$health_regen"
        "DOTA_Tooltip_ability_item_bloodstone_10_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_bloodstone_10_mana_regen_multiplier"            "%+Mana Regeneration"
        "DOTA_Tooltip_modifier_item_bloodstone_10_active"            "Bloodpact"
        "DOTA_Tooltip_modifier_item_bloodstone_10_active_Description"            "Quickly regenerating health!"

