        // -------------------------------------
        // Aeon Disk
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_aeon_disk_2"            "Aeon Disk 2"
        "DOTA_Tooltip_ability_item_aeon_disk_6_Description"            "<h1>Passive: Combo Breaker</h1> When you take damage and your health falls below %health_threshold_pct%%, a strong dispel is applied and you gain a %buff_duration% second buff that provides +%status_resistance%%% Status Resistance and causes all damage you deal and are dealt to be reduced to zero. Only triggers on player based damage."
        "DOTA_Tooltip_ability_item_aeon_disk_6_Lore"            "A powerful artifact long ago smuggled out of the Ivory Incubarium. Or so many believe."
        "DOTA_Tooltip_ability_item_aeon_disk_6_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_aeon_disk_6_bonus_mana"            "+$mana"
        "DOTA_Tooltip_modifier_item_aeon_disk_6_buff"            "Combo Breaker"
        "DOTA_Tooltip_modifier_item_aeon_disk_6_buff_Description"            "All incoming and outgoing damage negated."

        "DOTA_Tooltip_Ability_item_aeon_disk_7"            "Aeon Disk 7"
        "DOTA_Tooltip_ability_item_aeon_disk_7_Description"            "<h1>Passive: Combo Breaker</h1> When you take damage and your health falls below %health_threshold_pct%%, a strong dispel is applied and you gain a %buff_duration% second buff that provides +%status_resistance%%% Status Resistance and causes all damage you deal and are dealt to be reduced to zero. Only triggers on player based damage."
        "DOTA_Tooltip_ability_item_aeon_disk_7_Lore"            "A powerful artifact long ago smuggled out of the Ivory Incubarium. Or so many believe."
        "DOTA_Tooltip_ability_item_aeon_disk_7_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_aeon_disk_7_bonus_mana"            "+$mana"
        "DOTA_Tooltip_modifier_item_aeon_disk_7_buff"            "Combo Breaker"
        "DOTA_Tooltip_modifier_item_aeon_disk_7_buff_Description"            "All incoming and outgoing damage negated."

        "DOTA_Tooltip_Ability_item_aeon_disk_8"            "Aeon Disk 8"
        "DOTA_Tooltip_ability_item_aeon_disk_8_Description"            "<h1>Passive: Combo Breaker</h1> When you take damage and your health falls below %health_threshold_pct%%, a strong dispel is applied and you gain a %buff_duration% second buff that provides +%status_resistance%%% Status Resistance and causes all damage you deal and are dealt to be reduced to zero. Only triggers on player based damage."
        "DOTA_Tooltip_ability_item_aeon_disk_8_Lore"            "A powerful artifact long ago smuggled out of the Ivory Incubarium. Or so many believe."
        "DOTA_Tooltip_ability_item_aeon_disk_8_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_aeon_disk_8_bonus_mana"            "+$mana"
        "DOTA_Tooltip_modifier_item_aeon_disk_8_buff"            "Combo Breaker"
        "DOTA_Tooltip_modifier_item_aeon_disk_8_buff_Description"            "All incoming and outgoing damage negated."

        "DOTA_Tooltip_Ability_item_aeon_disk_9"            "Aeon Disk 9"
        "DOTA_Tooltip_ability_item_aeon_disk_9_Description"            "<h1>Passive: Combo Breaker</h1> When you take damage and your health falls below %health_threshold_pct%%, a strong dispel is applied and you gain a %buff_duration% second buff that provides +%status_resistance%%% Status Resistance and causes all damage you deal and are dealt to be reduced to zero. Only triggers on player based damage."
        "DOTA_Tooltip_ability_item_aeon_disk_9_Lore"            "A powerful artifact long ago smuggled out of the Ivory Incubarium. Or so many believe."
        "DOTA_Tooltip_ability_item_aeon_disk_9_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_aeon_disk_9_bonus_mana"            "+$mana"
        "DOTA_Tooltip_modifier_item_aeon_disk_9_buff"            "Combo Breaker"
        "DOTA_Tooltip_modifier_item_aeon_disk_9_buff_Description"            "All incoming and outgoing damage negated."

        "DOTA_Tooltip_Ability_item_aeon_disk_10"            "Aeon Disk 10"
        "DOTA_Tooltip_ability_item_aeon_disk_10_Description"            "<h1>Passive: Combo Breaker</h1> When you take damage and your health falls below %health_threshold_pct%%, a strong dispel is applied and you gain a %buff_duration% second buff that provides +%status_resistance%%% Status Resistance and causes all damage you deal and are dealt to be reduced to zero. Only triggers on player based damage."
        "DOTA_Tooltip_ability_item_aeon_disk_10_Lore"            "A powerful artifact long ago smuggled out of the Ivory Incubarium. Or so many believe."
        "DOTA_Tooltip_ability_item_aeon_disk_10_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_aeon_disk_10_bonus_mana"            "+$mana"
        "DOTA_Tooltip_modifier_item_aeon_disk_10_buff"            "Combo Breaker"
        "DOTA_Tooltip_modifier_item_aeon_disk_10_buff_Description"            "All incoming and outgoing damage negated."

