        // -------------------------------------
        // Hurricane Pike
        // -------------------------------------

        "DOTA_Tooltip_modifier_item_hurricane_pike_3_active_Description"            "Being pushed by Hurricane Pike 3."
        "DOTA_Tooltip_modifier_item_hurricane_pike_3_active_alternate"            "Hurricane Pike 3 Push"
        "DOTA_Tooltip_modifier_item_hurricane_pike_3_active_alternate_Description"            "Being pushed by Hurricane Pike 3."
        "DOTA_Tooltip_modifier_item_hurricane_pike_3_range"            "Hurricane Pike 3 Range"
        "DOTA_Tooltip_modifier_item_hurricane_pike_3_range_Description"            "Can attack the target without range restrictions."

        "DOTA_Tooltip_Ability_item_hurricane_pike_4"            "Hurricane Pike 4"
        "DOTA_Tooltip_ability_item_hurricane_pike_4_Description"            "<h1>Active: Hurricane Thrust</h1> Pushes you and target enemy %enemy_length% units away from each other, and for %range_duration% seconds, allows you to make %max_attacks% attacks against the target without range restrictions and with +%bonus_attack_speed% attack speed.<br><br>Works like Force Staff when used on self or allies.<br><br>Allied Range: %AbilityCastRange%<br>Enemy Range: %cast_range_enemy%\n<h1>Passive:  Dragon's Reach</h1> Increases attack range of ranged heroes by %base_attack_range%."
        "DOTA_Tooltip_ability_item_hurricane_pike_4_Lore"            "A legendary pike once held as royal sigil of the ancient wyvern riders."
        "DOTA_Tooltip_ability_item_hurricane_pike_4_Note0"            "Self-cast will use Hurricane Pike on yourself."
        "DOTA_Tooltip_ability_item_hurricane_pike_4_Note1"            "Hurricane Pike doesn't interrupt the target's actions."
        "DOTA_Tooltip_ability_item_hurricane_pike_4_Note2"            "Will not work on a unit inside Chronosphere, Duel, or Black Hole."
        "DOTA_Tooltip_ability_item_hurricane_pike_4_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_hurricane_pike_4_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_hurricane_pike_4_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_hurricane_pike_4_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_hurricane_pike_4_active"            "Hurricane Pike 4 Push"
        "DOTA_Tooltip_modifier_item_hurricane_pike_4_active_Description"            "Being pushed by Hurricane Pike 4."
        "DOTA_Tooltip_modifier_item_hurricane_pike_4_active_alternate"            "Hurricane Pike 4 Push"
        "DOTA_Tooltip_modifier_item_hurricane_pike_4_active_alternate_Description"            "Being pushed by Hurricane Pike 4."
        "DOTA_Tooltip_modifier_item_hurricane_pike_4_range"            "Hurricane Pike 4 Range"
        "DOTA_Tooltip_modifier_item_hurricane_pike_4_range_Description"            "Can attack the target without range restrictions."

        "DOTA_Tooltip_Ability_item_hurricane_pike_5"            "Hurricane Pike 5"
        "DOTA_Tooltip_ability_item_hurricane_pike_5_Description"            "<h1>Active: Hurricane Thrust</h1> Pushes you and target enemy %enemy_length% units away from each other, and for %range_duration% seconds, allows you to make %max_attacks% attacks against the target without range restrictions and with +%bonus_attack_speed% attack speed.<br><br>Works like Force Staff when used on self or allies.<br><br>Allied Range: %AbilityCastRange%<br>Enemy Range: %cast_range_enemy%\n<h1>Passive:  Dragon's Reach</h1> Increases attack range of ranged heroes by %base_attack_range%."
        "DOTA_Tooltip_ability_item_hurricane_pike_5_Lore"            "A legendary pike once held as royal sigil of the ancient wyvern riders."
        "DOTA_Tooltip_ability_item_hurricane_pike_5_Note0"            "Self-cast will use Hurricane Pike on yourself."
        "DOTA_Tooltip_ability_item_hurricane_pike_5_Note1"            "Hurricane Pike doesn't interrupt the target's actions."
        "DOTA_Tooltip_ability_item_hurricane_pike_5_Note2"            "Will not work on a unit inside Chronosphere, Duel, or Black Hole."
        "DOTA_Tooltip_ability_item_hurricane_pike_5_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_hurricane_pike_5_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_hurricane_pike_5_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_hurricane_pike_5_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_hurricane_pike_5_active"            "Hurricane Pike 5 Push"
        "DOTA_Tooltip_modifier_item_hurricane_pike_5_active_Description"            "Being pushed by Hurricane Pike 5."
        "DOTA_Tooltip_modifier_item_hurricane_pike_5_active_alternate"            "Hurricane Pike 5 Push"
        "DOTA_Tooltip_modifier_item_hurricane_pike_5_active_alternate_Description"            "Being pushed by Hurricane Pike 5."
        "DOTA_Tooltip_modifier_item_hurricane_pike_5_range"            "Hurricane Pike 5 Range"
        "DOTA_Tooltip_modifier_item_hurricane_pike_5_range_Description"            "Can attack the target without range restrictions."

        "DOTA_Tooltip_Ability_item_hurricane_pike_6"            "Hurricane Pike 6"
        "DOTA_Tooltip_ability_item_hurricane_pike_6_Description"            "<h1>Active: Hurricane Thrust</h1> Pushes you and target enemy %enemy_length% units away from each other, and for %range_duration% seconds, allows you to make %max_attacks% attacks against the target without range restrictions and with +%bonus_attack_speed% attack speed.<br><br>Works like Force Staff when used on self or allies.<br><br>Allied Range: %AbilityCastRange%<br>Enemy Range: %cast_range_enemy%\n<h1>Passive:  Dragon's Reach</h1> Increases attack range of ranged heroes by %base_attack_range%."
        "DOTA_Tooltip_ability_item_hurricane_pike_6_Lore"            "A legendary pike once held as royal sigil of the ancient wyvern riders."
        "DOTA_Tooltip_ability_item_hurricane_pike_6_Note0"            "Self-cast will use Hurricane Pike on yourself."
        "DOTA_Tooltip_ability_item_hurricane_pike_6_Note1"            "Hurricane Pike doesn't interrupt the target's actions."
        "DOTA_Tooltip_ability_item_hurricane_pike_6_Note2"            "Will not work on a unit inside Chronosphere, Duel, or Black Hole."
        "DOTA_Tooltip_ability_item_hurricane_pike_6_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_hurricane_pike_6_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_hurricane_pike_6_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_hurricane_pike_6_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_hurricane_pike_6_active"            "Hurricane Pike 6 Push"
        "DOTA_Tooltip_modifier_item_hurricane_pike_6_active_Description"            "Being pushed by Hurricane Pike 6."
        "DOTA_Tooltip_modifier_item_hurricane_pike_6_active_alternate"            "Hurricane Pike 6 Push"
        "DOTA_Tooltip_modifier_item_hurricane_pike_6_active_alternate_Description"            "Being pushed by Hurricane Pike 6."
        "DOTA_Tooltip_modifier_item_hurricane_pike_6_range"            "Hurricane Pike 6 Range"
        "DOTA_Tooltip_modifier_item_hurricane_pike_6_range_Description"            "Can attack the target without range restrictions."

        "DOTA_Tooltip_Ability_item_hurricane_pike_7"            "Hurricane Pike 7"
        "DOTA_Tooltip_ability_item_hurricane_pike_7_Description"            "<h1>Active: Hurricane Thrust</h1> Pushes you and target enemy %enemy_length% units away from each other, and for %range_duration% seconds, allows you to make %max_attacks% attacks against the target without range restrictions and with +%bonus_attack_speed% attack speed.<br><br>Works like Force Staff when used on self or allies.<br><br>Allied Range: %AbilityCastRange%<br>Enemy Range: %cast_range_enemy%\n<h1>Passive:  Dragon's Reach</h1> Increases attack range of ranged heroes by %base_attack_range%."
        "DOTA_Tooltip_ability_item_hurricane_pike_7_Lore"            "A legendary pike once held as royal sigil of the ancient wyvern riders."
        "DOTA_Tooltip_ability_item_hurricane_pike_7_Note0"            "Self-cast will use Hurricane Pike on yourself."
        "DOTA_Tooltip_ability_item_hurricane_pike_7_Note1"            "Hurricane Pike doesn't interrupt the target's actions."
        "DOTA_Tooltip_ability_item_hurricane_pike_7_Note2"            "Will not work on a unit inside Chronosphere, Duel, or Black Hole."
        "DOTA_Tooltip_ability_item_hurricane_pike_7_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_hurricane_pike_7_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_hurricane_pike_7_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_hurricane_pike_7_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_hurricane_pike_7_active"            "Hurricane Pike 7 Push"
        "DOTA_Tooltip_modifier_item_hurricane_pike_7_active_Description"            "Being pushed by Hurricane Pike 7."
        "DOTA_Tooltip_modifier_item_hurricane_pike_7_active_alternate"            "Hurricane Pike 7 Push"
        "DOTA_Tooltip_modifier_item_hurricane_pike_7_active_alternate_Description"            "Being pushed by Hurricane Pike 7."
        "DOTA_Tooltip_modifier_item_hurricane_pike_7_range"            "Hurricane Pike 7 Range"
        "DOTA_Tooltip_modifier_item_hurricane_pike_7_range_Description"            "Can attack the target without range restrictions."

        "DOTA_Tooltip_Ability_item_hurricane_pike_8"            "Hurricane Pike 8"
        "DOTA_Tooltip_ability_item_hurricane_pike_8_Description"            "<h1>Active: Hurricane Thrust</h1> Pushes you and target enemy %enemy_length% units away from each other, and for %range_duration% seconds, allows you to make %max_attacks% attacks against the target without range restrictions and with +%bonus_attack_speed% attack speed.<br><br>Works like Force Staff when used on self or allies.<br><br>Allied Range: %AbilityCastRange%<br>Enemy Range: %cast_range_enemy%\n<h1>Passive:  Dragon's Reach</h1> Increases attack range of ranged heroes by %base_attack_range%."
        "DOTA_Tooltip_ability_item_hurricane_pike_8_Lore"            "A legendary pike once held as royal sigil of the ancient wyvern riders."
        "DOTA_Tooltip_ability_item_hurricane_pike_8_Note0"            "Self-cast will use Hurricane Pike on yourself."
        "DOTA_Tooltip_ability_item_hurricane_pike_8_Note1"            "Hurricane Pike doesn't interrupt the target's actions."
        "DOTA_Tooltip_ability_item_hurricane_pike_8_Note2"            "Will not work on a unit inside Chronosphere, Duel, or Black Hole."
        "DOTA_Tooltip_ability_item_hurricane_pike_8_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_hurricane_pike_8_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_hurricane_pike_8_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_hurricane_pike_8_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_hurricane_pike_8_active"            "Hurricane Pike 8 Push"
        "DOTA_Tooltip_modifier_item_hurricane_pike_8_active_Description"            "Being pushed by Hurricane Pike 8."
        "DOTA_Tooltip_modifier_item_hurricane_pike_8_active_alternate"            "Hurricane Pike 8 Push"
        "DOTA_Tooltip_modifier_item_hurricane_pike_8_active_alternate_Description"            "Being pushed by Hurricane Pike 8."
        "DOTA_Tooltip_modifier_item_hurricane_pike_8_range"            "Hurricane Pike 8 Range"
        "DOTA_Tooltip_modifier_item_hurricane_pike_8_range_Description"            "Can attack the target without range restrictions."

        "DOTA_Tooltip_Ability_item_hurricane_pike_9"            "Hurricane Pike 9"
        "DOTA_Tooltip_ability_item_hurricane_pike_9_Description"            "<h1>Active: Hurricane Thrust</h1> Pushes you and target enemy %enemy_length% units away from each other, and for %range_duration% seconds, allows you to make %max_attacks% attacks against the target without range restrictions and with +%bonus_attack_speed% attack speed.<br><br>Works like Force Staff when used on self or allies.<br><br>Allied Range: %AbilityCastRange%<br>Enemy Range: %cast_range_enemy%\n<h1>Passive:  Dragon's Reach</h1> Increases attack range of ranged heroes by %base_attack_range%."
        "DOTA_Tooltip_ability_item_hurricane_pike_9_Lore"            "A legendary pike once held as royal sigil of the ancient wyvern riders."
        "DOTA_Tooltip_ability_item_hurricane_pike_9_Note0"            "Self-cast will use Hurricane Pike on yourself."
        "DOTA_Tooltip_ability_item_hurricane_pike_9_Note1"            "Hurricane Pike doesn't interrupt the target's actions."
        "DOTA_Tooltip_ability_item_hurricane_pike_9_Note2"            "Will not work on a unit inside Chronosphere, Duel, or Black Hole."
        "DOTA_Tooltip_ability_item_hurricane_pike_9_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_hurricane_pike_9_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_hurricane_pike_9_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_hurricane_pike_9_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_hurricane_pike_9_active"            "Hurricane Pike 9 Push"
        "DOTA_Tooltip_modifier_item_hurricane_pike_9_active_Description"            "Being pushed by Hurricane Pike 9."
        "DOTA_Tooltip_modifier_item_hurricane_pike_9_active_alternate"            "Hurricane Pike 9 Push"
        "DOTA_Tooltip_modifier_item_hurricane_pike_9_active_alternate_Description"            "Being pushed by Hurricane Pike 9."
        "DOTA_Tooltip_modifier_item_hurricane_pike_9_range"            "Hurricane Pike 9 Range"
        "DOTA_Tooltip_modifier_item_hurricane_pike_9_range_Description"            "Can attack the target without range restrictions."

        "DOTA_Tooltip_Ability_item_hurricane_pike_10"            "Hurricane Pike 10"
        "DOTA_Tooltip_ability_item_hurricane_pike_10_Description"            "<h1>Active: Hurricane Thrust</h1> Pushes you and target enemy %enemy_length% units away from each other, and for %range_duration% seconds, allows you to make %max_attacks% attacks against the target without range restrictions and with +%bonus_attack_speed% attack speed.<br><br>Works like Force Staff when used on self or allies.<br><br>Allied Range: %AbilityCastRange%<br>Enemy Range: %cast_range_enemy%\n<h1>Passive:  Dragon's Reach</h1> Increases attack range of ranged heroes by %base_attack_range%."
        "DOTA_Tooltip_ability_item_hurricane_pike_10_Lore"            "A legendary pike once held as royal sigil of the ancient wyvern riders."
        "DOTA_Tooltip_ability_item_hurricane_pike_10_Note0"            "Self-cast will use Hurricane Pike on yourself."
        "DOTA_Tooltip_ability_item_hurricane_pike_10_Note1"            "Hurricane Pike doesn't interrupt the target's actions."
        "DOTA_Tooltip_ability_item_hurricane_pike_10_Note2"            "Will not work on a unit inside Chronosphere, Duel, or Black Hole."
        "DOTA_Tooltip_ability_item_hurricane_pike_10_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_hurricane_pike_10_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_hurricane_pike_10_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_hurricane_pike_10_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_hurricane_pike_10_active"            "Hurricane Pike 10 Push"
        "DOTA_Tooltip_modifier_item_hurricane_pike_10_active_Description"            "Being pushed by Hurricane Pike 10."
        "DOTA_Tooltip_modifier_item_hurricane_pike_10_active_alternate"            "Hurricane Pike 10 Push"
        "DOTA_Tooltip_modifier_item_hurricane_pike_10_active_alternate_Description"            "Being pushed by Hurricane Pike 10."
        "DOTA_Tooltip_modifier_item_hurricane_pike_10_range"            "Hurricane Pike 10 Range"
        "DOTA_Tooltip_modifier_item_hurricane_pike_10_range_Description"            "Can attack the target without range restrictions."

