        // -------------------------------------
        // Ethereal Blade
        // -------------------------------------

        "DOTA_Tooltip_modifier_item_ethereal_blade_7_ethereal_Description"            "Ethereal Form. Taking %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% increased magic damage and cannot attack or be attacked."
        "DOTA_Tooltip_modifier_item_ethereal_blade_7_slow"            "Ethereal Blade Slow"
        "DOTA_Tooltip_modifier_item_ethereal_blade_7_slow_Description"            "Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

        "DOTA_Tooltip_Ability_item_ethereal_blade_8"            "Ethereal Blade 8"
        "DOTA_Tooltip_ability_item_ethereal_blade_8_Description"            "<h1>Active: Ether Blast</h1>Converts the target unit to ethereal form, rendering them immune to physical damage, but unable to attack and %ethereal_damage_bonus%%% more vulnerable to magic damage.  Lasts for %duration_ally% seconds on allies and %duration% seconds on enemies.<br><br>  Enemy targets are also slowed by %blast_movement_slow%%%, and take %blast_agility_multiplier%x your primary attribute + %blast_damage_base% as magical damage.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_ethereal_blade_8_Note0"            "Ethereal units take %ethereal_damage_bonus%%  bonus magic damage."
        "DOTA_Tooltip_ability_item_ethereal_blade_8_Note1"            "Using a Town Portal Scroll or Boots of Travel will not dispel Ethereal Form."
        "DOTA_Tooltip_ability_item_ethereal_blade_8_Lore"            "A flickering blade of a ghastly nature, it is capable of dealing damage in both magical and physical planes."
        "DOTA_Tooltip_ability_item_ethereal_blade_8_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_ethereal_blade_8_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_ethereal_blade_8_bonus_intellect"            "+$int"
        "DOTA_Tooltip_modifier_item_ethereal_blade_8_ethereal"            "Ether Blast"
        "DOTA_Tooltip_modifier_item_ethereal_blade_8_ethereal_Description"            "Ethereal Form. Taking %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% increased magic damage and cannot attack or be attacked."
        "DOTA_Tooltip_modifier_item_ethereal_blade_8_slow"            "Ethereal Blade Slow"
        "DOTA_Tooltip_modifier_item_ethereal_blade_8_slow_Description"            "Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

        "DOTA_Tooltip_Ability_item_ethereal_blade_9"            "Ethereal Blade 9"
        "DOTA_Tooltip_ability_item_ethereal_blade_9_Description"            "<h1>Active: Ether Blast</h1>Converts the target unit to ethereal form, rendering them immune to physical damage, but unable to attack and %ethereal_damage_bonus%%% more vulnerable to magic damage.  Lasts for %duration_ally% seconds on allies and %duration% seconds on enemies.<br><br>  Enemy targets are also slowed by %blast_movement_slow%%%, and take %blast_agility_multiplier%x your primary attribute + %blast_damage_base% as magical damage.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_ethereal_blade_9_Note0"            "Ethereal units take %ethereal_damage_bonus%%  bonus magic damage."
        "DOTA_Tooltip_ability_item_ethereal_blade_9_Note1"            "Using a Town Portal Scroll or Boots of Travel will not dispel Ethereal Form."
        "DOTA_Tooltip_ability_item_ethereal_blade_9_Lore"            "A flickering blade of a ghastly nature, it is capable of dealing damage in both magical and physical planes."
        "DOTA_Tooltip_ability_item_ethereal_blade_9_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_ethereal_blade_9_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_ethereal_blade_9_bonus_intellect"            "+$int"
        "DOTA_Tooltip_modifier_item_ethereal_blade_9_ethereal"            "Ether Blast"
        "DOTA_Tooltip_modifier_item_ethereal_blade_9_ethereal_Description"            "Ethereal Form. Taking %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% increased magic damage and cannot attack or be attacked."
        "DOTA_Tooltip_modifier_item_ethereal_blade_9_slow"            "Ethereal Blade Slow"
        "DOTA_Tooltip_modifier_item_ethereal_blade_9_slow_Description"            "Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

        "DOTA_Tooltip_Ability_item_ethereal_blade_10"            "Ethereal Blade 10"
        "DOTA_Tooltip_ability_item_ethereal_blade_10_Description"            "<h1>Active: Ether Blast</h1>Converts the target unit to ethereal form, rendering them immune to physical damage, but unable to attack and %ethereal_damage_bonus%%% more vulnerable to magic damage.  Lasts for %duration_ally% seconds on allies and %duration% seconds on enemies.<br><br>  Enemy targets are also slowed by %blast_movement_slow%%%, and take %blast_agility_multiplier%x your primary attribute + %blast_damage_base% as magical damage.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_ethereal_blade_10_Note0"            "Ethereal units take %ethereal_damage_bonus%%  bonus magic damage."
        "DOTA_Tooltip_ability_item_ethereal_blade_10_Note1"            "Using a Town Portal Scroll or Boots of Travel will not dispel Ethereal Form."
        "DOTA_Tooltip_ability_item_ethereal_blade_10_Lore"            "A flickering blade of a ghastly nature, it is capable of dealing damage in both magical and physical planes."
        "DOTA_Tooltip_ability_item_ethereal_blade_10_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_ethereal_blade_10_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_ethereal_blade_10_bonus_intellect"            "+$int"
        "DOTA_Tooltip_modifier_item_ethereal_blade_10_ethereal"            "Ether Blast"
        "DOTA_Tooltip_modifier_item_ethereal_blade_10_ethereal_Description"            "Ethereal Form. Taking %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% increased magic damage and cannot attack or be attacked."
        "DOTA_Tooltip_modifier_item_ethereal_blade_10_slow"            "Ethereal Blade Slow"
        "DOTA_Tooltip_modifier_item_ethereal_blade_10_slow_Description"            "Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

