        // -------------------------------------
        // Lotus orb
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_lotus_orb_2"            "Lotus orb 2"
        "DOTA_Tooltip_ability_item_lotus_orb_6_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_ability_item_lotus_orb_6_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_modifier_item_lotus_orb_6_active"            "Echo Shell 6"
        "DOTA_Tooltip_modifier_item_lotus_orb_6_active_Description"            "Most targeted spells will be re-cast at the caster."

        "DOTA_Tooltip_Ability_item_lotus_orb_7"            "Lotus orb 7"
        "DOTA_Tooltip_ability_item_lotus_orb_7_Description"            "<h1>Active: Echo Shell</h1>Applies a shield to the target unit for %active_duration% seconds which re-casts most targeted spells back to their caster.<br><br>The shielded unit will still take damage from the spell. <br><br>Range: %abilitycastrange%<br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_lotus_orb_7_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_lotus_orb_7_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_lotus_orb_7_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_ability_item_lotus_orb_7_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_modifier_item_lotus_orb_7_active"            "Echo Shell 7"
        "DOTA_Tooltip_modifier_item_lotus_orb_7_active_Description"            "Most targeted spells will be re-cast at the caster."

        "DOTA_Tooltip_Ability_item_lotus_orb_8"            "Lotus orb 8"
        "DOTA_Tooltip_ability_item_lotus_orb_8_Description"            "<h1>Active: Echo Shell</h1>Applies a shield to the target unit for %active_duration% seconds which re-casts most targeted spells back to their caster.<br><br>The shielded unit will still take damage from the spell. <br><br>Range: %abilitycastrange%<br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_lotus_orb_8_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_lotus_orb_8_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_lotus_orb_8_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_ability_item_lotus_orb_8_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_modifier_item_lotus_orb_8_active"            "Echo Shell 8"
        "DOTA_Tooltip_modifier_item_lotus_orb_8_active_Description"            "Most targeted spells will be re-cast at the caster."

        "DOTA_Tooltip_Ability_item_lotus_orb_9"            "Lotus orb 9"
        "DOTA_Tooltip_ability_item_lotus_orb_9_Description"            "<h1>Active: Echo Shell</h1>Applies a shield to the target unit for %active_duration% seconds which re-casts most targeted spells back to their caster.<br><br>The shielded unit will still take damage from the spell. <br><br>Range: %abilitycastrange%<br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_lotus_orb_9_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_lotus_orb_9_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_lotus_orb_9_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_ability_item_lotus_orb_9_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_modifier_item_lotus_orb_9_active"            "Echo Shell 9"
        "DOTA_Tooltip_modifier_item_lotus_orb_9_active_Description"            "Most targeted spells will be re-cast at the caster."

        "DOTA_Tooltip_Ability_item_lotus_orb_10"            "Lotus orb 10"
        "DOTA_Tooltip_ability_item_lotus_orb_10_Description"            "<h1>Active: Echo Shell</h1>Applies a shield to the target unit for %active_duration% seconds which re-casts most targeted spells back to their caster.<br><br>The shielded unit will still take damage from the spell. <br><br>Range: %abilitycastrange%<br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_lotus_orb_10_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_lotus_orb_10_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_lotus_orb_10_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_ability_item_lotus_orb_10_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_modifier_item_lotus_orb_10_active"            "Echo Shell 10"
        "DOTA_Tooltip_modifier_item_lotus_orb_10_active_Description"            "Most targeted spells will be re-cast at the caster."

