        // -------------------------------------
        // Divine Rapier
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_rapier_2"            "Divine Rapier 2"
        "DOTA_Tooltip_ability_item_rapier_4_Description"            "<h1>Passive: Everlasting</h1> <font color='#e03e2e'>Dropped on death, and cannot be destroyed.</font> <br><br>Becomes unusable if picked up by an ally of its owner until it is returned to its owner. It is immediately usable by anybody if an enemy of the owner picks it up and is killed. A dropped Rapier cannot be picked up by a courier.\n<h1>Passive: True Strike</h1> Your attacks cannot miss."
        "DOTA_Tooltip_ability_item_rapier_4_Note0"            "If Divine Rapier is dropped and picked up by an enemy of its original owner, it cannot be dropped again except by death."
        "DOTA_Tooltip_ability_item_rapier_4_Lore"            "So powerful, it cannot have a single owner."
        "DOTA_Tooltip_ability_item_rapier_4_bonus_damage"            "+$damage"

        "DOTA_Tooltip_Ability_item_rapier_5"            "Divine Rapier 5"
        "DOTA_Tooltip_ability_item_rapier_5_Description"            "<h1>Passive: Everlasting</h1> <font color='#e03e2e'>Dropped on death, and cannot be destroyed.</font> <br><br>Becomes unusable if picked up by an ally of its owner until it is returned to its owner. It is immediately usable by anybody if an enemy of the owner picks it up and is killed. A dropped Rapier cannot be picked up by a courier.\n<h1>Passive: True Strike</h1> Your attacks cannot miss."
        "DOTA_Tooltip_ability_item_rapier_5_Note0"            "If Divine Rapier is dropped and picked up by an enemy of its original owner, it cannot be dropped again except by death."
        "DOTA_Tooltip_ability_item_rapier_5_Lore"            "So powerful, it cannot have a single owner."
        "DOTA_Tooltip_ability_item_rapier_5_bonus_damage"            "+$damage"

        "DOTA_Tooltip_Ability_item_rapier_6"            "Divine Rapier 6"
        "DOTA_Tooltip_ability_item_rapier_6_Description"            "<h1>Passive: Everlasting</h1> <font color='#e03e2e'>Dropped on death, and cannot be destroyed.</font> <br><br>Becomes unusable if picked up by an ally of its owner until it is returned to its owner. It is immediately usable by anybody if an enemy of the owner picks it up and is killed. A dropped Rapier cannot be picked up by a courier.\n<h1>Passive: True Strike</h1> Your attacks cannot miss."
        "DOTA_Tooltip_ability_item_rapier_6_Note0"            "If Divine Rapier is dropped and picked up by an enemy of its original owner, it cannot be dropped again except by death."
        "DOTA_Tooltip_ability_item_rapier_6_Lore"            "So powerful, it cannot have a single owner."
        "DOTA_Tooltip_ability_item_rapier_6_bonus_damage"            "+$damage"

        "DOTA_Tooltip_Ability_item_rapier_7"            "Divine Rapier 7"
        "DOTA_Tooltip_ability_item_rapier_7_Description"            "<h1>Passive: Everlasting</h1> <font color='#e03e2e'>Dropped on death, and cannot be destroyed.</font> <br><br>Becomes unusable if picked up by an ally of its owner until it is returned to its owner. It is immediately usable by anybody if an enemy of the owner picks it up and is killed. A dropped Rapier cannot be picked up by a courier.\n<h1>Passive: True Strike</h1> Your attacks cannot miss."
        "DOTA_Tooltip_ability_item_rapier_7_Note0"            "If Divine Rapier is dropped and picked up by an enemy of its original owner, it cannot be dropped again except by death."
        "DOTA_Tooltip_ability_item_rapier_7_Lore"            "So powerful, it cannot have a single owner."
        "DOTA_Tooltip_ability_item_rapier_7_bonus_damage"            "+$damage"

        "DOTA_Tooltip_Ability_item_rapier_8"            "Divine Rapier 8"
        "DOTA_Tooltip_ability_item_rapier_8_Description"            "<h1>Passive: Everlasting</h1> <font color='#e03e2e'>Dropped on death, and cannot be destroyed.</font> <br><br>Becomes unusable if picked up by an ally of its owner until it is returned to its owner. It is immediately usable by anybody if an enemy of the owner picks it up and is killed. A dropped Rapier cannot be picked up by a courier.\n<h1>Passive: True Strike</h1> Your attacks cannot miss."
        "DOTA_Tooltip_ability_item_rapier_8_Note0"            "If Divine Rapier is dropped and picked up by an enemy of its original owner, it cannot be dropped again except by death."
        "DOTA_Tooltip_ability_item_rapier_8_Lore"            "So powerful, it cannot have a single owner."
        "DOTA_Tooltip_ability_item_rapier_8_bonus_damage"            "+$damage"

        "DOTA_Tooltip_Ability_item_rapier_9"            "Divine Rapier 9"
        "DOTA_Tooltip_ability_item_rapier_9_Description"            "<h1>Passive: Everlasting</h1> <font color='#e03e2e'>Dropped on death, and cannot be destroyed.</font> <br><br>Becomes unusable if picked up by an ally of its owner until it is returned to its owner. It is immediately usable by anybody if an enemy of the owner picks it up and is killed. A dropped Rapier cannot be picked up by a courier.\n<h1>Passive: True Strike</h1> Your attacks cannot miss."
        "DOTA_Tooltip_ability_item_rapier_9_Note0"            "If Divine Rapier is dropped and picked up by an enemy of its original owner, it cannot be dropped again except by death."
        "DOTA_Tooltip_ability_item_rapier_9_Lore"            "So powerful, it cannot have a single owner."
        "DOTA_Tooltip_ability_item_rapier_9_bonus_damage"            "+$damage"

        "DOTA_Tooltip_Ability_item_rapier_10"            "Divine Rapier 10"
        "DOTA_Tooltip_ability_item_rapier_10_Description"            "<h1>Passive: Everlasting</h1> <font color='#e03e2e'>Dropped on death, and cannot be destroyed.</font> <br><br>Becomes unusable if picked up by an ally of its owner until it is returned to its owner. It is immediately usable by anybody if an enemy of the owner picks it up and is killed. A dropped Rapier cannot be picked up by a courier.\n<h1>Passive: True Strike</h1> Your attacks cannot miss."
        "DOTA_Tooltip_ability_item_rapier_10_Note0"            "If Divine Rapier is dropped and picked up by an enemy of its original owner, it cannot be dropped again except by death."
        "DOTA_Tooltip_ability_item_rapier_10_Lore"            "So powerful, it cannot have a single owner."
        "DOTA_Tooltip_ability_item_rapier_10_bonus_damage"            "+$damage"

