        // -------------------------------------
        // Heaven's Halberd
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_heavens_halberd_2"            "Heaven's Halberd 2"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff_Description"            "Disarmed by Heaven's Halberd, cannot attack."

        "DOTA_Tooltip_Ability_item_heavens_halberd_5"            "Heaven's Halberd 5"
        "DOTA_Tooltip_ability_item_heavens_halberd_5_Description"            "<h1>Active: Disarm</h1>Prevents a target from attacking for %disarm_melee% seconds on melee targets, and %disarm_ranged% seconds on ranged targets.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_heavens_halberd_5_Lore"            "This halberd moves with the speed of a smaller weapon, allowing the bearer to win duels that a heavy edge would not."
        "DOTA_Tooltip_ability_item_heavens_halberd_5_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_heavens_halberd_5_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_heavens_halberd_5_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_ability_item_heavens_halberd_5_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff"            "Disarm"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff_Description"            "Disarmed by Heaven's Halberd, cannot attack."

        "DOTA_Tooltip_Ability_item_heavens_halberd_6"            "Heaven's Halberd 6"
        "DOTA_Tooltip_ability_item_heavens_halberd_6_Description"            "<h1>Active: Disarm</h1>Prevents a target from attacking for %disarm_melee% seconds on melee targets, and %disarm_ranged% seconds on ranged targets.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_heavens_halberd_6_Lore"            "This halberd moves with the speed of a smaller weapon, allowing the bearer to win duels that a heavy edge would not."
        "DOTA_Tooltip_ability_item_heavens_halberd_6_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_heavens_halberd_6_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_heavens_halberd_6_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_ability_item_heavens_halberd_6_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff"            "Disarm"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff_Description"            "Disarmed by Heaven's Halberd, cannot attack."

        "DOTA_Tooltip_Ability_item_heavens_halberd_7"            "Heaven's Halberd 7"
        "DOTA_Tooltip_ability_item_heavens_halberd_7_Description"            "<h1>Active: Disarm</h1>Prevents a target from attacking for %disarm_melee% seconds on melee targets, and %disarm_ranged% seconds on ranged targets.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_heavens_halberd_7_Lore"            "This halberd moves with the speed of a smaller weapon, allowing the bearer to win duels that a heavy edge would not."
        "DOTA_Tooltip_ability_item_heavens_halberd_7_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_heavens_halberd_7_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_heavens_halberd_7_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_ability_item_heavens_halberd_7_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff"            "Disarm"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff_Description"            "Disarmed by Heaven's Halberd, cannot attack."

        "DOTA_Tooltip_Ability_item_heavens_halberd_8"            "Heaven's Halberd 8"
        "DOTA_Tooltip_ability_item_heavens_halberd_8_Description"            "<h1>Active: Disarm</h1>Prevents a target from attacking for %disarm_melee% seconds on melee targets, and %disarm_ranged% seconds on ranged targets.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_heavens_halberd_8_Lore"            "This halberd moves with the speed of a smaller weapon, allowing the bearer to win duels that a heavy edge would not."
        "DOTA_Tooltip_ability_item_heavens_halberd_8_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_heavens_halberd_8_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_heavens_halberd_8_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_ability_item_heavens_halberd_8_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff"            "Disarm"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff_Description"            "Disarmed by Heaven's Halberd, cannot attack."

        "DOTA_Tooltip_Ability_item_heavens_halberd_9"            "Heaven's Halberd 9"
        "DOTA_Tooltip_ability_item_heavens_halberd_9_Description"            "<h1>Active: Disarm</h1>Prevents a target from attacking for %disarm_melee% seconds on melee targets, and %disarm_ranged% seconds on ranged targets.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_heavens_halberd_9_Lore"            "This halberd moves with the speed of a smaller weapon, allowing the bearer to win duels that a heavy edge would not."
        "DOTA_Tooltip_ability_item_heavens_halberd_9_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_heavens_halberd_9_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_heavens_halberd_9_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_ability_item_heavens_halberd_9_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff"            "Disarm"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff_Description"            "Disarmed by Heaven's Halberd, cannot attack."

        "DOTA_Tooltip_Ability_item_heavens_halberd_10"            "Heaven's Halberd 10"
        "DOTA_Tooltip_ability_item_heavens_halberd_10_Description"            "<h1>Active: Disarm</h1>Prevents a target from attacking for %disarm_melee% seconds on melee targets, and %disarm_ranged% seconds on ranged targets.<br><br>Range: %AbilityCastRange%"
        "DOTA_Tooltip_ability_item_heavens_halberd_10_Lore"            "This halberd moves with the speed of a smaller weapon, allowing the bearer to win duels that a heavy edge would not."
        "DOTA_Tooltip_ability_item_heavens_halberd_10_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_heavens_halberd_10_bonus_evasion"            "%+$evasion"
        "DOTA_Tooltip_ability_item_heavens_halberd_10_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_ability_item_heavens_halberd_10_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff"            "Disarm"
        "DOTA_Tooltip_modifier_heavens_halberd_debuff_Description"            "Disarmed by Heaven's Halberd, cannot attack."

