        // -------------------------------------
        // Holy Locket
        // -------------------------------------

        "DOTA_Tooltip_ability_item_holy_locket_5_Description"            "<h1>Active: Energy Charge</h1>Instantly restores %restore_per_charge% health and mana per charge stored. <br><br>Max %max_charges% charges. Gains a charge whenever a visible enemy within %charge_radius% range uses an ability.  \n\n <h1>Passive: Holy Blessing</h1>Amplifies heals you provide by %heal_increase%%%."
        "DOTA_Tooltip_ability_item_holy_locket_5_Lore"            "Insert Lore Here."
        "DOTA_Tooltip_ability_item_holy_locket_5_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_holy_locket_5_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_holy_locket_5_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_holy_locket_5_health_regen"            "+$hp_regen"

        "DOTA_Tooltip_Ability_item_holy_locket_6"            "Holy Locket 6"
        "DOTA_Tooltip_ability_item_holy_locket_6_Description"            "<h1>Active: Energy Charge</h1>Instantly restores %restore_per_charge% health and mana per charge stored. <br><br>Max %max_charges% charges. Gains a charge whenever a visible enemy within %charge_radius% range uses an ability.  \n\n <h1>Passive: Holy Blessing</h1>Amplifies heals you provide by %heal_increase%%%."
        "DOTA_Tooltip_ability_item_holy_locket_6_Lore"            "Insert Lore Here."
        "DOTA_Tooltip_ability_item_holy_locket_6_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_holy_locket_6_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_holy_locket_6_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_holy_locket_6_health_regen"            "+$hp_regen"

        "DOTA_Tooltip_Ability_item_holy_locket_7"            "Holy Locket 7"
        "DOTA_Tooltip_ability_item_holy_locket_7_Description"            "<h1>Active: Energy Charge</h1>Instantly restores %restore_per_charge% health and mana per charge stored. <br><br>Max %max_charges% charges. Gains a charge whenever a visible enemy within %charge_radius% range uses an ability.  \n\n <h1>Passive: Holy Blessing</h1>Amplifies heals you provide by %heal_increase%%%."
        "DOTA_Tooltip_ability_item_holy_locket_7_Lore"            "Insert Lore Here."
        "DOTA_Tooltip_ability_item_holy_locket_7_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_holy_locket_7_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_holy_locket_7_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_holy_locket_7_health_regen"            "+$hp_regen"

        "DOTA_Tooltip_Ability_item_holy_locket_8"            "Holy Locket 8"
        "DOTA_Tooltip_ability_item_holy_locket_8_Description"            "<h1>Active: Energy Charge</h1>Instantly restores %restore_per_charge% health and mana per charge stored. <br><br>Max %max_charges% charges. Gains a charge whenever a visible enemy within %charge_radius% range uses an ability.  \n\n <h1>Passive: Holy Blessing</h1>Amplifies heals you provide by %heal_increase%%%."
        "DOTA_Tooltip_ability_item_holy_locket_8_Lore"            "Insert Lore Here."
        "DOTA_Tooltip_ability_item_holy_locket_8_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_holy_locket_8_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_holy_locket_8_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_holy_locket_8_health_regen"            "+$hp_regen"

        "DOTA_Tooltip_Ability_item_holy_locket_9"            "Holy Locket 9"
        "DOTA_Tooltip_ability_item_holy_locket_9_Description"            "<h1>Active: Energy Charge</h1>Instantly restores %restore_per_charge% health and mana per charge stored. <br><br>Max %max_charges% charges. Gains a charge whenever a visible enemy within %charge_radius% range uses an ability.  \n\n <h1>Passive: Holy Blessing</h1>Amplifies heals you provide by %heal_increase%%%."
        "DOTA_Tooltip_ability_item_holy_locket_9_Lore"            "Insert Lore Here."
        "DOTA_Tooltip_ability_item_holy_locket_9_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_holy_locket_9_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_holy_locket_9_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_holy_locket_9_health_regen"            "+$hp_regen"

        "DOTA_Tooltip_Ability_item_holy_locket_10"            "Holy Locket 10"
        "DOTA_Tooltip_ability_item_holy_locket_10_Description"            "<h1>Active: Energy Charge</h1>Instantly restores %restore_per_charge% health and mana per charge stored. <br><br>Max %max_charges% charges. Gains a charge whenever a visible enemy within %charge_radius% range uses an ability.  \n\n <h1>Passive: Holy Blessing</h1>Amplifies heals you provide by %heal_increase%%%."
        "DOTA_Tooltip_ability_item_holy_locket_10_Lore"            "Insert Lore Here."
        "DOTA_Tooltip_ability_item_holy_locket_10_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_holy_locket_10_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_holy_locket_10_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_holy_locket_10_health_regen"            "+$hp_regen"

