        // -------------------------------------
        // Silver Edge
        // -------------------------------------

        "DOTA_Tooltip_ability_item_silver_edge_4_Description"            "<h1>Active: Shadow Walk</h1>Makes you invisible for %windwalk_duration% seconds, or until you attack or cast a spell.  While invisible, you move %windwalk_movement_speed%%% faster and can move through units.  <br><br>Attacking to end the invisibility will deal %windwalk_bonus_damage% bonus physical damage to the target, and for %backstab_duration% seconds, disable their passive abilities."
        "DOTA_Tooltip_ability_item_silver_edge_4_Note0"            "Backstab cannot miss."
        "DOTA_Tooltip_ability_item_silver_edge_4_Note1"            "Backstab does not pierce spell immunity."
        "DOTA_Tooltip_ability_item_silver_edge_4_Lore"            "Once used to slay an unjust king, only to have the kingdom erupt into civil war in the aftermath."
        "DOTA_Tooltip_ability_item_silver_edge_4_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_silver_edge_4_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_silver_edge_4_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_modifier_item_silver_edge_4_windwalk"            "Shadow Walk"
        "DOTA_Tooltip_modifier_item_silver_edge_4_windwalk_Description"            "Invisible. Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and you can move through units. Attacking to break invisibility will deal %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% bonus damage, slow the target and disable their passives."

        "DOTA_Tooltip_Ability_item_silver_edge_5"            "Silver Edge 5"
        "DOTA_Tooltip_ability_item_silver_edge_5_Description"            "<h1>Active: Shadow Walk</h1>Makes you invisible for %windwalk_duration% seconds, or until you attack or cast a spell.  While invisible, you move %windwalk_movement_speed%%% faster and can move through units.  <br><br>Attacking to end the invisibility will deal %windwalk_bonus_damage% bonus physical damage to the target, and for %backstab_duration% seconds, disable their passive abilities."
        "DOTA_Tooltip_ability_item_silver_edge_5_Note0"            "Backstab cannot miss."
        "DOTA_Tooltip_ability_item_silver_edge_5_Note1"            "Backstab does not pierce spell immunity."
        "DOTA_Tooltip_ability_item_silver_edge_5_Lore"            "Once used to slay an unjust king, only to have the kingdom erupt into civil war in the aftermath."
        "DOTA_Tooltip_ability_item_silver_edge_5_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_silver_edge_5_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_silver_edge_5_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_modifier_item_silver_edge_5_windwalk"            "Shadow Walk"
        "DOTA_Tooltip_modifier_item_silver_edge_5_windwalk_Description"            "Invisible. Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and you can move through units. Attacking to break invisibility will deal %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% bonus damage, slow the target and disable their passives."

        "DOTA_Tooltip_Ability_item_silver_edge_6"            "Silver Edge 6"
        "DOTA_Tooltip_ability_item_silver_edge_6_Description"            "<h1>Active: Shadow Walk</h1>Makes you invisible for %windwalk_duration% seconds, or until you attack or cast a spell.  While invisible, you move %windwalk_movement_speed%%% faster and can move through units.  <br><br>Attacking to end the invisibility will deal %windwalk_bonus_damage% bonus physical damage to the target, and for %backstab_duration% seconds, disable their passive abilities."
        "DOTA_Tooltip_ability_item_silver_edge_6_Note0"            "Backstab cannot miss."
        "DOTA_Tooltip_ability_item_silver_edge_6_Note1"            "Backstab does not pierce spell immunity."
        "DOTA_Tooltip_ability_item_silver_edge_6_Lore"            "Once used to slay an unjust king, only to have the kingdom erupt into civil war in the aftermath."
        "DOTA_Tooltip_ability_item_silver_edge_6_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_silver_edge_6_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_silver_edge_6_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_modifier_item_silver_edge_6_windwalk"            "Shadow Walk"
        "DOTA_Tooltip_modifier_item_silver_edge_6_windwalk_Description"            "Invisible. Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and you can move through units. Attacking to break invisibility will deal %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% bonus damage, slow the target and disable their passives."

        "DOTA_Tooltip_Ability_item_silver_edge_7"            "Silver Edge 7"
        "DOTA_Tooltip_ability_item_silver_edge_7_Description"            "<h1>Active: Shadow Walk</h1>Makes you invisible for %windwalk_duration% seconds, or until you attack or cast a spell.  While invisible, you move %windwalk_movement_speed%%% faster and can move through units.  <br><br>Attacking to end the invisibility will deal %windwalk_bonus_damage% bonus physical damage to the target, and for %backstab_duration% seconds, disable their passive abilities."
        "DOTA_Tooltip_ability_item_silver_edge_7_Note0"            "Backstab cannot miss."
        "DOTA_Tooltip_ability_item_silver_edge_7_Note1"            "Backstab does not pierce spell immunity."
        "DOTA_Tooltip_ability_item_silver_edge_7_Lore"            "Once used to slay an unjust king, only to have the kingdom erupt into civil war in the aftermath."
        "DOTA_Tooltip_ability_item_silver_edge_7_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_silver_edge_7_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_silver_edge_7_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_modifier_item_silver_edge_7_windwalk"            "Shadow Walk"
        "DOTA_Tooltip_modifier_item_silver_edge_7_windwalk_Description"            "Invisible. Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and you can move through units. Attacking to break invisibility will deal %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% bonus damage, slow the target and disable their passives."

        "DOTA_Tooltip_Ability_item_silver_edge_8"            "Silver Edge 8"
        "DOTA_Tooltip_ability_item_silver_edge_8_Description"            "<h1>Active: Shadow Walk</h1>Makes you invisible for %windwalk_duration% seconds, or until you attack or cast a spell.  While invisible, you move %windwalk_movement_speed%%% faster and can move through units.  <br><br>Attacking to end the invisibility will deal %windwalk_bonus_damage% bonus physical damage to the target, and for %backstab_duration% seconds, disable their passive abilities."
        "DOTA_Tooltip_ability_item_silver_edge_8_Note0"            "Backstab cannot miss."
        "DOTA_Tooltip_ability_item_silver_edge_8_Note1"            "Backstab does not pierce spell immunity."
        "DOTA_Tooltip_ability_item_silver_edge_8_Lore"            "Once used to slay an unjust king, only to have the kingdom erupt into civil war in the aftermath."
        "DOTA_Tooltip_ability_item_silver_edge_8_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_silver_edge_8_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_silver_edge_8_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_modifier_item_silver_edge_8_windwalk"            "Shadow Walk"
        "DOTA_Tooltip_modifier_item_silver_edge_8_windwalk_Description"            "Invisible. Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and you can move through units. Attacking to break invisibility will deal %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% bonus damage, slow the target and disable their passives."

        "DOTA_Tooltip_Ability_item_silver_edge_9"            "Silver Edge 9"
        "DOTA_Tooltip_ability_item_silver_edge_9_Description"            "<h1>Active: Shadow Walk</h1>Makes you invisible for %windwalk_duration% seconds, or until you attack or cast a spell.  While invisible, you move %windwalk_movement_speed%%% faster and can move through units.  <br><br>Attacking to end the invisibility will deal %windwalk_bonus_damage% bonus physical damage to the target, and for %backstab_duration% seconds, disable their passive abilities."
        "DOTA_Tooltip_ability_item_silver_edge_9_Note0"            "Backstab cannot miss."
        "DOTA_Tooltip_ability_item_silver_edge_9_Note1"            "Backstab does not pierce spell immunity."
        "DOTA_Tooltip_ability_item_silver_edge_9_Lore"            "Once used to slay an unjust king, only to have the kingdom erupt into civil war in the aftermath."
        "DOTA_Tooltip_ability_item_silver_edge_9_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_silver_edge_9_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_silver_edge_9_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_modifier_item_silver_edge_9_windwalk"            "Shadow Walk"
        "DOTA_Tooltip_modifier_item_silver_edge_9_windwalk_Description"            "Invisible. Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and you can move through units. Attacking to break invisibility will deal %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% bonus damage, slow the target and disable their passives."

        "DOTA_Tooltip_Ability_item_silver_edge_10"            "Silver Edge 10"
        "DOTA_Tooltip_ability_item_silver_edge_10_Description"            "<h1>Active: Shadow Walk</h1>Makes you invisible for %windwalk_duration% seconds, or until you attack or cast a spell.  While invisible, you move %windwalk_movement_speed%%% faster and can move through units.  <br><br>Attacking to end the invisibility will deal %windwalk_bonus_damage% bonus physical damage to the target, and for %backstab_duration% seconds, disable their passive abilities."
        "DOTA_Tooltip_ability_item_silver_edge_10_Note0"            "Backstab cannot miss."
        "DOTA_Tooltip_ability_item_silver_edge_10_Note1"            "Backstab does not pierce spell immunity."
        "DOTA_Tooltip_ability_item_silver_edge_10_Lore"            "Once used to slay an unjust king, only to have the kingdom erupt into civil war in the aftermath."
        "DOTA_Tooltip_ability_item_silver_edge_10_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_silver_edge_10_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_silver_edge_10_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_modifier_item_silver_edge_10_windwalk"            "Shadow Walk"
        "DOTA_Tooltip_modifier_item_silver_edge_10_windwalk_Description"            "Invisible. Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and you can move through units. Attacking to break invisibility will deal %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% bonus damage, slow the target and disable their passives."

