        // -------------------------------------
        // Spirit Vessel
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_spirit_vessel_4"            "Spirit Vessel 4"
        "DOTA_Tooltip_ability_item_spirit_vessel_4_Description"            "<h1>Active: Soul Release</h1> When used against enemies, it reduces health by %enemy_hp_drain%%% of current health per second, and reduces HP regeneration and healing by %hp_regen_reduction_enemy%%%. Deals %soul_damage_amount% damage per second. <br><br>When used on allies, it provides %soul_heal_amount% health regeneration per second. <br><br>Lasts %duration% seconds.  <br><br>Gains charges every time an enemy hero dies within %soul_radius% units.  Only the closest Spirit Vessel to the dying hero will gain a charge.<br><br>Cast Range: %abilitycastrange%"
        "DOTA_Tooltip_ability_item_spirit_vessel_4_Lore"            "Forged by a god to entrap the soul of another."
        "DOTA_Tooltip_ability_item_spirit_vessel_4_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_spirit_vessel_4_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_spirit_vessel_4_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_spirit_vessel_4_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_spirit_vessel_4_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spirit_vessel_4_heal"            "Spirit Vessel 4 Heal"
        "DOTA_Tooltip_modifier_item_spirit_vessel_4_heal_Description"            "Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP per second."
        "DOTA_Tooltip_modifier_item_spirit_vessel_4_damage"            "Spirit Vessel 4 Damage"
        "DOTA_Tooltip_modifier_item_spirit_vessel_4_damage_Description"            "Losing %dMODIFIER_PROPERTY_TOOLTIP% HP plus %dMODIFIER_PROPERTY_TOOLTIP%%% of current health per second. All heals reduced by %dMODIFIER_PROPERTY_HP_REGEN_AMPLIFY_PERCENTAGE%%%."
        "DOTA_Tooltip_ability_item_spirit_vessel_4_mana_regen"            "+$mana_regen"

        "DOTA_Tooltip_Ability_item_spirit_vessel_5"            "Spirit Vessel 5"
        "DOTA_Tooltip_ability_item_spirit_vessel_5_Description"            "<h1>Active: Soul Release</h1> When used against enemies, it reduces health by %enemy_hp_drain%%% of current health per second, and reduces HP regeneration and healing by %hp_regen_reduction_enemy%%%. Deals %soul_damage_amount% damage per second. <br><br>When used on allies, it provides %soul_heal_amount% health regeneration per second. <br><br>Lasts %duration% seconds.  <br><br>Gains charges every time an enemy hero dies within %soul_radius% units.  Only the closest Spirit Vessel to the dying hero will gain a charge.<br><br>Cast Range: %abilitycastrange%"
        "DOTA_Tooltip_ability_item_spirit_vessel_5_Lore"            "Forged by a god to entrap the soul of another."
        "DOTA_Tooltip_ability_item_spirit_vessel_5_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_spirit_vessel_5_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_spirit_vessel_5_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_spirit_vessel_5_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_spirit_vessel_5_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spirit_vessel_5_heal"            "Spirit Vessel 5 Heal"
        "DOTA_Tooltip_modifier_item_spirit_vessel_5_heal_Description"            "Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP per second."
        "DOTA_Tooltip_modifier_item_spirit_vessel_5_damage"            "Spirit Vessel 5 Damage"
        "DOTA_Tooltip_modifier_item_spirit_vessel_5_damage_Description"            "Losing %dMODIFIER_PROPERTY_TOOLTIP% HP plus %dMODIFIER_PROPERTY_TOOLTIP%%% of current health per second. All heals reduced by %dMODIFIER_PROPERTY_HP_REGEN_AMPLIFY_PERCENTAGE%%%."
        "DOTA_Tooltip_ability_item_spirit_vessel_5_mana_regen"            "+$mana_regen"

        "DOTA_Tooltip_Ability_item_spirit_vessel_6"            "Spirit Vessel 6"
        "DOTA_Tooltip_ability_item_spirit_vessel_6_Description"            "<h1>Active: Soul Release</h1> When used against enemies, it reduces health by %enemy_hp_drain%%% of current health per second, and reduces HP regeneration and healing by %hp_regen_reduction_enemy%%%. Deals %soul_damage_amount% damage per second. <br><br>When used on allies, it provides %soul_heal_amount% health regeneration per second. <br><br>Lasts %duration% seconds.  <br><br>Gains charges every time an enemy hero dies within %soul_radius% units.  Only the closest Spirit Vessel to the dying hero will gain a charge.<br><br>Cast Range: %abilitycastrange%"
        "DOTA_Tooltip_ability_item_spirit_vessel_6_Lore"            "Forged by a god to entrap the soul of another."
        "DOTA_Tooltip_ability_item_spirit_vessel_6_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_spirit_vessel_6_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_spirit_vessel_6_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_spirit_vessel_6_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_spirit_vessel_6_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spirit_vessel_6_heal"            "Spirit Vessel 6 Heal"
        "DOTA_Tooltip_modifier_item_spirit_vessel_6_heal_Description"            "Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP per second."
        "DOTA_Tooltip_modifier_item_spirit_vessel_6_damage"            "Spirit Vessel 6 Damage"
        "DOTA_Tooltip_modifier_item_spirit_vessel_6_damage_Description"            "Losing %dMODIFIER_PROPERTY_TOOLTIP% HP plus %dMODIFIER_PROPERTY_TOOLTIP%%% of current health per second. All heals reduced by %dMODIFIER_PROPERTY_HP_REGEN_AMPLIFY_PERCENTAGE%%%."
        "DOTA_Tooltip_ability_item_spirit_vessel_6_mana_regen"            "+$mana_regen"

        "DOTA_Tooltip_Ability_item_spirit_vessel_7"            "Spirit Vessel 7"
        "DOTA_Tooltip_ability_item_spirit_vessel_7_Description"            "<h1>Active: Soul Release</h1> When used against enemies, it reduces health by %enemy_hp_drain%%% of current health per second, and reduces HP regeneration and healing by %hp_regen_reduction_enemy%%%. Deals %soul_damage_amount% damage per second. <br><br>When used on allies, it provides %soul_heal_amount% health regeneration per second. <br><br>Lasts %duration% seconds.  <br><br>Gains charges every time an enemy hero dies within %soul_radius% units.  Only the closest Spirit Vessel to the dying hero will gain a charge.<br><br>Cast Range: %abilitycastrange%"
        "DOTA_Tooltip_ability_item_spirit_vessel_7_Lore"            "Forged by a god to entrap the soul of another."
        "DOTA_Tooltip_ability_item_spirit_vessel_7_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_spirit_vessel_7_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_spirit_vessel_7_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_spirit_vessel_7_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_spirit_vessel_7_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spirit_vessel_7_heal"            "Spirit Vessel 7 Heal"
        "DOTA_Tooltip_modifier_item_spirit_vessel_7_heal_Description"            "Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP per second."
        "DOTA_Tooltip_modifier_item_spirit_vessel_7_damage"            "Spirit Vessel 7 Damage"
        "DOTA_Tooltip_modifier_item_spirit_vessel_7_damage_Description"            "Losing %dMODIFIER_PROPERTY_TOOLTIP% HP plus %dMODIFIER_PROPERTY_TOOLTIP%%% of current health per second. All heals reduced by %dMODIFIER_PROPERTY_HP_REGEN_AMPLIFY_PERCENTAGE%%%."
        "DOTA_Tooltip_ability_item_spirit_vessel_7_mana_regen"            "+$mana_regen"

        "DOTA_Tooltip_Ability_item_spirit_vessel_8"            "Spirit Vessel 8"
        "DOTA_Tooltip_ability_item_spirit_vessel_8_Description"            "<h1>Active: Soul Release</h1> When used against enemies, it reduces health by %enemy_hp_drain%%% of current health per second, and reduces HP regeneration and healing by %hp_regen_reduction_enemy%%%. Deals %soul_damage_amount% damage per second. <br><br>When used on allies, it provides %soul_heal_amount% health regeneration per second. <br><br>Lasts %duration% seconds.  <br><br>Gains charges every time an enemy hero dies within %soul_radius% units.  Only the closest Spirit Vessel to the dying hero will gain a charge.<br><br>Cast Range: %abilitycastrange%"
        "DOTA_Tooltip_ability_item_spirit_vessel_8_Lore"            "Forged by a god to entrap the soul of another."
        "DOTA_Tooltip_ability_item_spirit_vessel_8_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_spirit_vessel_8_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_spirit_vessel_8_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_spirit_vessel_8_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_spirit_vessel_8_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spirit_vessel_8_heal"            "Spirit Vessel 8 Heal"
        "DOTA_Tooltip_modifier_item_spirit_vessel_8_heal_Description"            "Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP per second."
        "DOTA_Tooltip_modifier_item_spirit_vessel_8_damage"            "Spirit Vessel 8 Damage"
        "DOTA_Tooltip_modifier_item_spirit_vessel_8_damage_Description"            "Losing %dMODIFIER_PROPERTY_TOOLTIP% HP plus %dMODIFIER_PROPERTY_TOOLTIP%%% of current health per second. All heals reduced by %dMODIFIER_PROPERTY_HP_REGEN_AMPLIFY_PERCENTAGE%%%."
        "DOTA_Tooltip_ability_item_spirit_vessel_8_mana_regen"            "+$mana_regen"

        "DOTA_Tooltip_Ability_item_spirit_vessel_9"            "Spirit Vessel 9"
        "DOTA_Tooltip_ability_item_spirit_vessel_9_Description"            "<h1>Active: Soul Release</h1> When used against enemies, it reduces health by %enemy_hp_drain%%% of current health per second, and reduces HP regeneration and healing by %hp_regen_reduction_enemy%%%. Deals %soul_damage_amount% damage per second. <br><br>When used on allies, it provides %soul_heal_amount% health regeneration per second. <br><br>Lasts %duration% seconds.  <br><br>Gains charges every time an enemy hero dies within %soul_radius% units.  Only the closest Spirit Vessel to the dying hero will gain a charge.<br><br>Cast Range: %abilitycastrange%"
        "DOTA_Tooltip_ability_item_spirit_vessel_9_Lore"            "Forged by a god to entrap the soul of another."
        "DOTA_Tooltip_ability_item_spirit_vessel_9_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_spirit_vessel_9_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_spirit_vessel_9_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_spirit_vessel_9_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_spirit_vessel_9_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spirit_vessel_9_heal"            "Spirit Vessel 9 Heal"
        "DOTA_Tooltip_modifier_item_spirit_vessel_9_heal_Description"            "Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP per second."
        "DOTA_Tooltip_modifier_item_spirit_vessel_9_damage"            "Spirit Vessel 9 Damage"
        "DOTA_Tooltip_modifier_item_spirit_vessel_9_damage_Description"            "Losing %dMODIFIER_PROPERTY_TOOLTIP% HP plus %dMODIFIER_PROPERTY_TOOLTIP%%% of current health per second. All heals reduced by %dMODIFIER_PROPERTY_HP_REGEN_AMPLIFY_PERCENTAGE%%%."
        "DOTA_Tooltip_ability_item_spirit_vessel_9_mana_regen"            "+$mana_regen"

        "DOTA_Tooltip_Ability_item_spirit_vessel_10"            "Spirit Vessel 10"
        "DOTA_Tooltip_ability_item_spirit_vessel_10_Description"            "<h1>Active: Soul Release</h1> When used against enemies, it reduces health by %enemy_hp_drain%%% of current health per second, and reduces HP regeneration and healing by %hp_regen_reduction_enemy%%%. Deals %soul_damage_amount% damage per second. <br><br>When used on allies, it provides %soul_heal_amount% health regeneration per second. <br><br>Lasts %duration% seconds.  <br><br>Gains charges every time an enemy hero dies within %soul_radius% units.  Only the closest Spirit Vessel to the dying hero will gain a charge.<br><br>Cast Range: %abilitycastrange%"
        "DOTA_Tooltip_ability_item_spirit_vessel_10_Lore"            "Forged by a god to entrap the soul of another."
        "DOTA_Tooltip_ability_item_spirit_vessel_10_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_spirit_vessel_10_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_spirit_vessel_10_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_spirit_vessel_10_bonus_mana_regen"            "+$mana_regen"
        "DOTA_Tooltip_ability_item_spirit_vessel_10_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spirit_vessel_10_heal"            "Spirit Vessel 10 Heal"
        "DOTA_Tooltip_modifier_item_spirit_vessel_10_heal_Description"            "Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP per second."
        "DOTA_Tooltip_modifier_item_spirit_vessel_10_damage"            "Spirit Vessel 10 Damage"
        "DOTA_Tooltip_modifier_item_spirit_vessel_10_damage_Description"            "Losing %dMODIFIER_PROPERTY_TOOLTIP% HP plus %dMODIFIER_PROPERTY_TOOLTIP%%% of current health per second. All heals reduced by %dMODIFIER_PROPERTY_HP_REGEN_AMPLIFY_PERCENTAGE%%%."
        "DOTA_Tooltip_ability_item_spirit_vessel_10_mana_regen"            "+$mana_regen"

