        // -------------------------------------
        // Spider Legs
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_spider_legs_2"            "Spider Legs 2"
        "DOTA_Tooltip_Ability_item_spider_legs_9"            "Spider Legs 9"
        "DOTA_Tooltip_ability_item_spider_legs_9_Description"            "<h1>Active: Scurry</h1> Grants you %bonus_movement_speed_active%% bonus movement speed and free pathing for %duration% seconds. Walking over trees causes them to be destroyed.\nMovement speed bonuses from multiple pairs of boots do not stack."
        "DOTA_Tooltip_ability_item_spider_legs_9_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spider_legs_9_active"            "Scurry"
        "DOTA_Tooltip_modifier_item_spider_legs_9_active_Description"            "Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT% and has free pathing."
        "DOTA_Tooltip_ability_item_spider_legs_9_turn_rate"            "+Turn Rate"

        "DOTA_Tooltip_Ability_item_spider_legs_10"            "Spider Legs 10"
        "DOTA_Tooltip_ability_item_spider_legs_10_Description"            "<h1>Active: Scurry</h1> Grants you %bonus_movement_speed_active%% bonus movement speed and free pathing for %duration% seconds. Walking over trees causes them to be destroyed.\nMovement speed bonuses from multiple pairs of boots do not stack."
        "DOTA_Tooltip_ability_item_spider_legs_10_bonus_movement_speed"            "+$move_speed"
        "DOTA_Tooltip_modifier_item_spider_legs_10_active"            "Scurry"
        "DOTA_Tooltip_modifier_item_spider_legs_10_active_Description"            "Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT% and has free pathing."
        "DOTA_Tooltip_ability_item_spider_legs_10_turn_rate"            "+Turn Rate"

