        // -------------------------------------
        // Octarine Core
        // -------------------------------------

        "DOTA_Tooltip_ability_item_octarine_core_8_Description"            "<h1>Passive: Cooldown Reduction</h1>Reduces the cooldown time of all spells and items by %bonus_cooldown%%%.\n<h1>Passive: Spell Lifesteal</h1>%hero_lifesteal%%% of spell damage dealt to enemy heroes is returned to the caster as health, regardless of spell damage type.  <br><br>Lifesteal reduced to %creep_lifesteal%%% against creeps."
        "DOTA_Tooltip_ability_item_octarine_core_8_Lore"            "At the core of spellcraft are spectrums only the very gifted can sense."
        "DOTA_Tooltip_ability_item_octarine_core_8_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_octarine_core_8_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_octarine_core_8_bonus_intelligence"            "+$int"

        "DOTA_Tooltip_Ability_item_octarine_core_9"            "Octarine Core 9"
        "DOTA_Tooltip_ability_item_octarine_core_9_Description"            "<h1>Passive: Cooldown Reduction</h1>Reduces the cooldown time of all spells and items by %bonus_cooldown%%%.\n<h1>Passive: Spell Lifesteal</h1>%hero_lifesteal%%% of spell damage dealt to enemy heroes is returned to the caster as health, regardless of spell damage type.  <br><br>Lifesteal reduced to %creep_lifesteal%%% against creeps."
        "DOTA_Tooltip_ability_item_octarine_core_9_Lore"            "At the core of spellcraft are spectrums only the very gifted can sense."
        "DOTA_Tooltip_ability_item_octarine_core_9_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_octarine_core_9_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_octarine_core_9_bonus_intelligence"            "+$int"

        "DOTA_Tooltip_Ability_item_octarine_core_10"            "Octarine Core 10"
        "DOTA_Tooltip_ability_item_octarine_core_10_Description"            "<h1>Passive: Cooldown Reduction</h1>Reduces the cooldown time of all spells and items by %bonus_cooldown%%%.\n<h1>Passive: Spell Lifesteal</h1>%hero_lifesteal%%% of spell damage dealt to enemy heroes is returned to the caster as health, regardless of spell damage type.  <br><br>Lifesteal reduced to %creep_lifesteal%%% against creeps."
        "DOTA_Tooltip_ability_item_octarine_core_10_Lore"            "At the core of spellcraft are spectrums only the very gifted can sense."
        "DOTA_Tooltip_ability_item_octarine_core_10_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_octarine_core_10_bonus_mana"            "+$mana"
        "DOTA_Tooltip_ability_item_octarine_core_10_bonus_intelligence"            "+$int"

