        // -------------------------------------
        // Crimson Guard
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_crimson_guard_2"            "Crimson Guard 2"
        "DOTA_Tooltip_ability_item_crimson_guard_3_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_crimson_guard_3_effect"            "Crimson Guard 3 Armor Bonus"
        "DOTA_Tooltip_modifier_item_crimson_guard_3_effect_Description"            "Armor increased by %MODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
        "DOTA_Tooltip_modifier_item_crimson_guard_3_extra"            "Guard"
        "DOTA_Tooltip_modifier_item_crimson_guard_3_extra_Description"            "Gained %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS_UNIQUE_ACTIVE% armor, and a 100%% chance to block %dMODIFIER_PROPERTY_PHYSICAL_CONSTANT_BLOCK% damage from incoming attacks."
        "DOTA_Tooltip_modifier_item_crimson_guard_3_nostack"            "Guard Cooldown"
        "DOTA_Tooltip_modifier_item_crimson_guard_3_nostack_Description"            "Guard will not affect a unit that has recently been protected by Guard."

        "DOTA_Tooltip_Ability_item_crimson_guard_4"            "Crimson Guard 4"
        "DOTA_Tooltip_ability_item_crimson_guard_4_Description"            "<h1>Active: Guard</h1> For %duration% seconds, grant nearby allied heroes and buildings a %block_chance_active%%% chance to block %block_damage_melee_active% damage from each incoming attack.<br><br>Units may only be affected by Guard once every %tooltip_reapply_time% seconds.<br><br>Radius: %bonus_aoe_radius%\n<h1>Passive: Damage Block</h1> Grants a %block_chance%%% chance to block %block_damage_melee% damage from incoming attacks on melee heroes, and %block_damage_ranged% damage on ranged."
        "DOTA_Tooltip_ability_item_crimson_guard_4_Lore"            "A cuirass originally built to protect against the dreaded Year Beast."
        "DOTA_Tooltip_ability_item_crimson_guard_4_Note0"            "Multiple sources of damage block do not stack."
        "DOTA_Tooltip_ability_item_crimson_guard_4_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_crimson_guard_4_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_crimson_guard_4_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_crimson_guard_4_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_crimson_guard_4_effect"            "Crimson Guard 4 Armor Bonus"
        "DOTA_Tooltip_modifier_item_crimson_guard_4_effect_Description"            "Armor increased by %MODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
        "DOTA_Tooltip_modifier_item_crimson_guard_4_extra"            "Guard"
        "DOTA_Tooltip_modifier_item_crimson_guard_4_extra_Description"            "Gained %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS_UNIQUE_ACTIVE% armor, and a 100%% chance to block %dMODIFIER_PROPERTY_PHYSICAL_CONSTANT_BLOCK% damage from incoming attacks."
        "DOTA_Tooltip_modifier_item_crimson_guard_4_nostack"            "Guard Cooldown"
        "DOTA_Tooltip_modifier_item_crimson_guard_4_nostack_Description"            "Guard will not affect a unit that has recently been protected by Guard."

        "DOTA_Tooltip_Ability_item_crimson_guard_5"            "Crimson Guard 5"
        "DOTA_Tooltip_ability_item_crimson_guard_5_Description"            "<h1>Active: Guard</h1> For %duration% seconds, grant nearby allied heroes and buildings a %block_chance_active%%% chance to block %block_damage_melee_active% damage from each incoming attack.<br><br>Units may only be affected by Guard once every %tooltip_reapply_time% seconds.<br><br>Radius: %bonus_aoe_radius%\n<h1>Passive: Damage Block</h1> Grants a %block_chance%%% chance to block %block_damage_melee% damage from incoming attacks on melee heroes, and %block_damage_ranged% damage on ranged."
        "DOTA_Tooltip_ability_item_crimson_guard_5_Lore"            "A cuirass originally built to protect against the dreaded Year Beast."
        "DOTA_Tooltip_ability_item_crimson_guard_5_Note0"            "Multiple sources of damage block do not stack."
        "DOTA_Tooltip_ability_item_crimson_guard_5_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_crimson_guard_5_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_crimson_guard_5_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_crimson_guard_5_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_crimson_guard_5_effect"            "Crimson Guard 5 Armor Bonus"
        "DOTA_Tooltip_modifier_item_crimson_guard_5_effect_Description"            "Armor increased by %MODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
        "DOTA_Tooltip_modifier_item_crimson_guard_5_extra"            "Guard"
        "DOTA_Tooltip_modifier_item_crimson_guard_5_extra_Description"            "Gained %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS_UNIQUE_ACTIVE% armor, and a 100%% chance to block %dMODIFIER_PROPERTY_PHYSICAL_CONSTANT_BLOCK% damage from incoming attacks."
        "DOTA_Tooltip_modifier_item_crimson_guard_5_nostack"            "Guard Cooldown"
        "DOTA_Tooltip_modifier_item_crimson_guard_5_nostack_Description"            "Guard will not affect a unit that has recently been protected by Guard."

        "DOTA_Tooltip_Ability_item_crimson_guard_6"            "Crimson Guard 6"
        "DOTA_Tooltip_ability_item_crimson_guard_6_Description"            "<h1>Active: Guard</h1> For %duration% seconds, grant nearby allied heroes and buildings a %block_chance_active%%% chance to block %block_damage_melee_active% damage from each incoming attack.<br><br>Units may only be affected by Guard once every %tooltip_reapply_time% seconds.<br><br>Radius: %bonus_aoe_radius%\n<h1>Passive: Damage Block</h1> Grants a %block_chance%%% chance to block %block_damage_melee% damage from incoming attacks on melee heroes, and %block_damage_ranged% damage on ranged."
        "DOTA_Tooltip_ability_item_crimson_guard_6_Lore"            "A cuirass originally built to protect against the dreaded Year Beast."
        "DOTA_Tooltip_ability_item_crimson_guard_6_Note0"            "Multiple sources of damage block do not stack."
        "DOTA_Tooltip_ability_item_crimson_guard_6_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_crimson_guard_6_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_crimson_guard_6_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_crimson_guard_6_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_crimson_guard_6_effect"            "Crimson Guard 6 Armor Bonus"
        "DOTA_Tooltip_modifier_item_crimson_guard_6_effect_Description"            "Armor increased by %MODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
        "DOTA_Tooltip_modifier_item_crimson_guard_6_extra"            "Guard"
        "DOTA_Tooltip_modifier_item_crimson_guard_6_extra_Description"            "Gained %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS_UNIQUE_ACTIVE% armor, and a 100%% chance to block %dMODIFIER_PROPERTY_PHYSICAL_CONSTANT_BLOCK% damage from incoming attacks."
        "DOTA_Tooltip_modifier_item_crimson_guard_6_nostack"            "Guard Cooldown"
        "DOTA_Tooltip_modifier_item_crimson_guard_6_nostack_Description"            "Guard will not affect a unit that has recently been protected by Guard."

        "DOTA_Tooltip_Ability_item_crimson_guard_7"            "Crimson Guard 7"
        "DOTA_Tooltip_ability_item_crimson_guard_7_Description"            "<h1>Active: Guard</h1> For %duration% seconds, grant nearby allied heroes and buildings a %block_chance_active%%% chance to block %block_damage_melee_active% damage from each incoming attack.<br><br>Units may only be affected by Guard once every %tooltip_reapply_time% seconds.<br><br>Radius: %bonus_aoe_radius%\n<h1>Passive: Damage Block</h1> Grants a %block_chance%%% chance to block %block_damage_melee% damage from incoming attacks on melee heroes, and %block_damage_ranged% damage on ranged."
        "DOTA_Tooltip_ability_item_crimson_guard_7_Lore"            "A cuirass originally built to protect against the dreaded Year Beast."
        "DOTA_Tooltip_ability_item_crimson_guard_7_Note0"            "Multiple sources of damage block do not stack."
        "DOTA_Tooltip_ability_item_crimson_guard_7_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_crimson_guard_7_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_crimson_guard_7_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_crimson_guard_7_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_crimson_guard_7_effect"            "Crimson Guard 7 Armor Bonus"
        "DOTA_Tooltip_modifier_item_crimson_guard_7_effect_Description"            "Armor increased by %MODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
        "DOTA_Tooltip_modifier_item_crimson_guard_7_extra"            "Guard"
        "DOTA_Tooltip_modifier_item_crimson_guard_7_extra_Description"            "Gained %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS_UNIQUE_ACTIVE% armor, and a 100%% chance to block %dMODIFIER_PROPERTY_PHYSICAL_CONSTANT_BLOCK% damage from incoming attacks."
        "DOTA_Tooltip_modifier_item_crimson_guard_7_nostack"            "Guard Cooldown"
        "DOTA_Tooltip_modifier_item_crimson_guard_7_nostack_Description"            "Guard will not affect a unit that has recently been protected by Guard."

        "DOTA_Tooltip_Ability_item_crimson_guard_8"            "Crimson Guard 8"
        "DOTA_Tooltip_ability_item_crimson_guard_8_Description"            "<h1>Active: Guard</h1> For %duration% seconds, grant nearby allied heroes and buildings a %block_chance_active%%% chance to block %block_damage_melee_active% damage from each incoming attack.<br><br>Units may only be affected by Guard once every %tooltip_reapply_time% seconds.<br><br>Radius: %bonus_aoe_radius%\n<h1>Passive: Damage Block</h1> Grants a %block_chance%%% chance to block %block_damage_melee% damage from incoming attacks on melee heroes, and %block_damage_ranged% damage on ranged."
        "DOTA_Tooltip_ability_item_crimson_guard_8_Lore"            "A cuirass originally built to protect against the dreaded Year Beast."
        "DOTA_Tooltip_ability_item_crimson_guard_8_Note0"            "Multiple sources of damage block do not stack."
        "DOTA_Tooltip_ability_item_crimson_guard_8_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_crimson_guard_8_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_crimson_guard_8_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_crimson_guard_8_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_crimson_guard_8_effect"            "Crimson Guard 8 Armor Bonus"
        "DOTA_Tooltip_modifier_item_crimson_guard_8_effect_Description"            "Armor increased by %MODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
        "DOTA_Tooltip_modifier_item_crimson_guard_8_extra"            "Guard"
        "DOTA_Tooltip_modifier_item_crimson_guard_8_extra_Description"            "Gained %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS_UNIQUE_ACTIVE% armor, and a 100%% chance to block %dMODIFIER_PROPERTY_PHYSICAL_CONSTANT_BLOCK% damage from incoming attacks."
        "DOTA_Tooltip_modifier_item_crimson_guard_8_nostack"            "Guard Cooldown"
        "DOTA_Tooltip_modifier_item_crimson_guard_8_nostack_Description"            "Guard will not affect a unit that has recently been protected by Guard."

        "DOTA_Tooltip_Ability_item_crimson_guard_9"            "Crimson Guard 9"
        "DOTA_Tooltip_ability_item_crimson_guard_9_Description"            "<h1>Active: Guard</h1> For %duration% seconds, grant nearby allied heroes and buildings a %block_chance_active%%% chance to block %block_damage_melee_active% damage from each incoming attack.<br><br>Units may only be affected by Guard once every %tooltip_reapply_time% seconds.<br><br>Radius: %bonus_aoe_radius%\n<h1>Passive: Damage Block</h1> Grants a %block_chance%%% chance to block %block_damage_melee% damage from incoming attacks on melee heroes, and %block_damage_ranged% damage on ranged."
        "DOTA_Tooltip_ability_item_crimson_guard_9_Lore"            "A cuirass originally built to protect against the dreaded Year Beast."
        "DOTA_Tooltip_ability_item_crimson_guard_9_Note0"            "Multiple sources of damage block do not stack."
        "DOTA_Tooltip_ability_item_crimson_guard_9_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_crimson_guard_9_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_crimson_guard_9_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_crimson_guard_9_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_crimson_guard_9_effect"            "Crimson Guard 9 Armor Bonus"
        "DOTA_Tooltip_modifier_item_crimson_guard_9_effect_Description"            "Armor increased by %MODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
        "DOTA_Tooltip_modifier_item_crimson_guard_9_extra"            "Guard"
        "DOTA_Tooltip_modifier_item_crimson_guard_9_extra_Description"            "Gained %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS_UNIQUE_ACTIVE% armor, and a 100%% chance to block %dMODIFIER_PROPERTY_PHYSICAL_CONSTANT_BLOCK% damage from incoming attacks."
        "DOTA_Tooltip_modifier_item_crimson_guard_9_nostack"            "Guard Cooldown"
        "DOTA_Tooltip_modifier_item_crimson_guard_9_nostack_Description"            "Guard will not affect a unit that has recently been protected by Guard."

        "DOTA_Tooltip_Ability_item_crimson_guard_10"            "Crimson Guard 10"
        "DOTA_Tooltip_ability_item_crimson_guard_10_Description"            "<h1>Active: Guard</h1> For %duration% seconds, grant nearby allied heroes and buildings a %block_chance_active%%% chance to block %block_damage_melee_active% damage from each incoming attack.<br><br>Units may only be affected by Guard once every %tooltip_reapply_time% seconds.<br><br>Radius: %bonus_aoe_radius%\n<h1>Passive: Damage Block</h1> Grants a %block_chance%%% chance to block %block_damage_melee% damage from incoming attacks on melee heroes, and %block_damage_ranged% damage on ranged."
        "DOTA_Tooltip_ability_item_crimson_guard_10_Lore"            "A cuirass originally built to protect against the dreaded Year Beast."
        "DOTA_Tooltip_ability_item_crimson_guard_10_Note0"            "Multiple sources of damage block do not stack."
        "DOTA_Tooltip_ability_item_crimson_guard_10_bonus_health"            "+$health"
        "DOTA_Tooltip_ability_item_crimson_guard_10_bonus_all_stats"            "+$all"
        "DOTA_Tooltip_ability_item_crimson_guard_10_bonus_armor"            "+$armor"
        "DOTA_Tooltip_ability_item_crimson_guard_10_bonus_health_regen"            "+$hp_regen"
        "DOTA_Tooltip_modifier_item_crimson_guard_10_effect"            "Crimson Guard 10 Armor Bonus"
        "DOTA_Tooltip_modifier_item_crimson_guard_10_effect_Description"            "Armor increased by %MODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
        "DOTA_Tooltip_modifier_item_crimson_guard_10_extra"            "Guard"
        "DOTA_Tooltip_modifier_item_crimson_guard_10_extra_Description"            "Gained %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS_UNIQUE_ACTIVE% armor, and a 100%% chance to block %dMODIFIER_PROPERTY_PHYSICAL_CONSTANT_BLOCK% damage from incoming attacks."
        "DOTA_Tooltip_modifier_item_crimson_guard_10_nostack"            "Guard Cooldown"
        "DOTA_Tooltip_modifier_item_crimson_guard_10_nostack_Description"            "Guard will not affect a unit that has recently been protected by Guard."

