        // -------------------------------------
        // Trident
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_trident_2"            "Trident 2"
        "DOTA_Tooltip_ability_item_trident_4_spell_amp"            "%+Spell Amplification"
        "DOTA_Tooltip_ability_item_trident_4_manacost_reduction"            "%+Manacost and Manaloss Reduction"

        "DOTA_Tooltip_Ability_item_trident_5"            "Trident 5"
        "DOTA_Tooltip_ability_item_trident_5_Description"            "<h1>Passive: %bonus_strength%</h1> Everything is %bonus_agility%! \n Except manacost reduction, it's a loser."
        "DOTA_Tooltip_ability_item_trident_5_Note0"            "%bonus_strength%."
        "DOTA_Tooltip_ability_item_trident_5_Lore"            "A treasure from the Deep Seas, uniformly increasing the user's combat proficiency."
        "DOTA_Tooltip_ability_item_trident_5_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_trident_5_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_trident_5_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_trident_5_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_ability_item_trident_5_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_trident_5_movement_speed_percent_bonus"            "+$move_speed"
        "DOTA_Tooltip_ability_item_trident_5_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_ability_item_trident_5_spell_amp"            "%+Spell Amplification"
        "DOTA_Tooltip_ability_item_trident_5_manacost_reduction"            "%+Manacost and Manaloss Reduction"

        "DOTA_Tooltip_Ability_item_trident_6"            "Trident 6"
        "DOTA_Tooltip_ability_item_trident_6_Description"            "<h1>Passive: %bonus_strength%</h1> Everything is %bonus_agility%! \n Except manacost reduction, it's a loser."
        "DOTA_Tooltip_ability_item_trident_6_Note0"            "%bonus_strength%."
        "DOTA_Tooltip_ability_item_trident_6_Lore"            "A treasure from the Deep Seas, uniformly increasing the user's combat proficiency."
        "DOTA_Tooltip_ability_item_trident_6_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_trident_6_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_trident_6_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_trident_6_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_ability_item_trident_6_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_trident_6_movement_speed_percent_bonus"            "+$move_speed"
        "DOTA_Tooltip_ability_item_trident_6_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_ability_item_trident_6_spell_amp"            "%+Spell Amplification"
        "DOTA_Tooltip_ability_item_trident_6_manacost_reduction"            "%+Manacost and Manaloss Reduction"

        "DOTA_Tooltip_Ability_item_trident_7"            "Trident 7"
        "DOTA_Tooltip_ability_item_trident_7_Description"            "<h1>Passive: %bonus_strength%</h1> Everything is %bonus_agility%! \n Except manacost reduction, it's a loser."
        "DOTA_Tooltip_ability_item_trident_7_Note0"            "%bonus_strength%."
        "DOTA_Tooltip_ability_item_trident_7_Lore"            "A treasure from the Deep Seas, uniformly increasing the user's combat proficiency."
        "DOTA_Tooltip_ability_item_trident_7_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_trident_7_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_trident_7_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_trident_7_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_ability_item_trident_7_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_trident_7_movement_speed_percent_bonus"            "+$move_speed"
        "DOTA_Tooltip_ability_item_trident_7_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_ability_item_trident_7_spell_amp"            "%+Spell Amplification"
        "DOTA_Tooltip_ability_item_trident_7_manacost_reduction"            "%+Manacost and Manaloss Reduction"

        "DOTA_Tooltip_Ability_item_trident_8"            "Trident 8"
        "DOTA_Tooltip_ability_item_trident_8_Description"            "<h1>Passive: %bonus_strength%</h1> Everything is %bonus_agility%! \n Except manacost reduction, it's a loser."
        "DOTA_Tooltip_ability_item_trident_8_Note0"            "%bonus_strength%."
        "DOTA_Tooltip_ability_item_trident_8_Lore"            "A treasure from the Deep Seas, uniformly increasing the user's combat proficiency."
        "DOTA_Tooltip_ability_item_trident_8_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_trident_8_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_trident_8_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_trident_8_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_ability_item_trident_8_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_trident_8_movement_speed_percent_bonus"            "+$move_speed"
        "DOTA_Tooltip_ability_item_trident_8_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_ability_item_trident_8_spell_amp"            "%+Spell Amplification"
        "DOTA_Tooltip_ability_item_trident_8_manacost_reduction"            "%+Manacost and Manaloss Reduction"

        "DOTA_Tooltip_Ability_item_trident_9"            "Trident 9"
        "DOTA_Tooltip_ability_item_trident_9_Description"            "<h1>Passive: %bonus_strength%</h1> Everything is %bonus_agility%! \n Except manacost reduction, it's a loser."
        "DOTA_Tooltip_ability_item_trident_9_Note0"            "%bonus_strength%."
        "DOTA_Tooltip_ability_item_trident_9_Lore"            "A treasure from the Deep Seas, uniformly increasing the user's combat proficiency."
        "DOTA_Tooltip_ability_item_trident_9_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_trident_9_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_trident_9_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_trident_9_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_ability_item_trident_9_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_trident_9_movement_speed_percent_bonus"            "+$move_speed"
        "DOTA_Tooltip_ability_item_trident_9_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_ability_item_trident_9_spell_amp"            "%+Spell Amplification"
        "DOTA_Tooltip_ability_item_trident_9_manacost_reduction"            "%+Manacost and Manaloss Reduction"

        "DOTA_Tooltip_Ability_item_trident_10"            "Trident 10"
        "DOTA_Tooltip_ability_item_trident_10_Description"            "<h1>Passive: %bonus_strength%</h1> Everything is %bonus_agility%! \n Except manacost reduction, it's a loser."
        "DOTA_Tooltip_ability_item_trident_10_Note0"            "%bonus_strength%."
        "DOTA_Tooltip_ability_item_trident_10_Lore"            "A treasure from the Deep Seas, uniformly increasing the user's combat proficiency."
        "DOTA_Tooltip_ability_item_trident_10_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_trident_10_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_trident_10_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_trident_10_hp_regen_amp"            "%+Self HP Regen and Lifesteal Amp"
        "DOTA_Tooltip_ability_item_trident_10_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_trident_10_movement_speed_percent_bonus"            "+$move_speed"
        "DOTA_Tooltip_ability_item_trident_10_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_ability_item_trident_10_spell_amp"            "%+Spell Amplification"
        "DOTA_Tooltip_ability_item_trident_10_manacost_reduction"            "%+Manacost and Manaloss Reduction"

