        // -------------------------------------
        // Satanic
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_satanic_2"            "Satanic 2"
        "DOTA_Tooltip_ability_item_satanic_4_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_satanic_4_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_satanic_4_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_modifier_item_satanic_4_unholy"            "Unholy Rage"
        "DOTA_Tooltip_modifier_item_satanic_4_unholy_Description"            "Lifesteal increased."

        "DOTA_Tooltip_Ability_item_satanic_5"            "Satanic 5"
        "DOTA_Tooltip_ability_item_satanic_5_Description"            "<h1>Active: Unholy Rage</h1>Increases Lifesteal percentage to %unholy_lifesteal_total_tooltip%%% for %unholy_duration% seconds. \n<h1>Passive: Lifesteal</h1>Heals the attacker for %lifesteal_percent%%% of attack damage dealt."
        "DOTA_Tooltip_ability_item_satanic_5_Lore"            "Immense power at the cost of your soul."
        "DOTA_Tooltip_ability_item_satanic_5_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_satanic_5_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_satanic_5_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_modifier_item_satanic_5_unholy"            "Unholy Rage"
        "DOTA_Tooltip_modifier_item_satanic_5_unholy_Description"            "Lifesteal increased."

        "DOTA_Tooltip_Ability_item_satanic_6"            "Satanic 6"
        "DOTA_Tooltip_ability_item_satanic_6_Description"            "<h1>Active: Unholy Rage</h1>Increases Lifesteal percentage to %unholy_lifesteal_total_tooltip%%% for %unholy_duration% seconds. \n<h1>Passive: Lifesteal</h1>Heals the attacker for %lifesteal_percent%%% of attack damage dealt."
        "DOTA_Tooltip_ability_item_satanic_6_Lore"            "Immense power at the cost of your soul."
        "DOTA_Tooltip_ability_item_satanic_6_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_satanic_6_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_satanic_6_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_modifier_item_satanic_6_unholy"            "Unholy Rage"
        "DOTA_Tooltip_modifier_item_satanic_6_unholy_Description"            "Lifesteal increased."

        "DOTA_Tooltip_Ability_item_satanic_7"            "Satanic 7"
        "DOTA_Tooltip_ability_item_satanic_7_Description"            "<h1>Active: Unholy Rage</h1>Increases Lifesteal percentage to %unholy_lifesteal_total_tooltip%%% for %unholy_duration% seconds. \n<h1>Passive: Lifesteal</h1>Heals the attacker for %lifesteal_percent%%% of attack damage dealt."
        "DOTA_Tooltip_ability_item_satanic_7_Lore"            "Immense power at the cost of your soul."
        "DOTA_Tooltip_ability_item_satanic_7_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_satanic_7_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_satanic_7_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_modifier_item_satanic_7_unholy"            "Unholy Rage"
        "DOTA_Tooltip_modifier_item_satanic_7_unholy_Description"            "Lifesteal increased."

        "DOTA_Tooltip_Ability_item_satanic_8"            "Satanic 8"
        "DOTA_Tooltip_ability_item_satanic_8_Description"            "<h1>Active: Unholy Rage</h1>Increases Lifesteal percentage to %unholy_lifesteal_total_tooltip%%% for %unholy_duration% seconds. \n<h1>Passive: Lifesteal</h1>Heals the attacker for %lifesteal_percent%%% of attack damage dealt."
        "DOTA_Tooltip_ability_item_satanic_8_Lore"            "Immense power at the cost of your soul."
        "DOTA_Tooltip_ability_item_satanic_8_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_satanic_8_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_satanic_8_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_modifier_item_satanic_8_unholy"            "Unholy Rage"
        "DOTA_Tooltip_modifier_item_satanic_8_unholy_Description"            "Lifesteal increased."

        "DOTA_Tooltip_Ability_item_satanic_9"            "Satanic 9"
        "DOTA_Tooltip_ability_item_satanic_9_Description"            "<h1>Active: Unholy Rage</h1>Increases Lifesteal percentage to %unholy_lifesteal_total_tooltip%%% for %unholy_duration% seconds. \n<h1>Passive: Lifesteal</h1>Heals the attacker for %lifesteal_percent%%% of attack damage dealt."
        "DOTA_Tooltip_ability_item_satanic_9_Lore"            "Immense power at the cost of your soul."
        "DOTA_Tooltip_ability_item_satanic_9_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_satanic_9_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_satanic_9_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_modifier_item_satanic_9_unholy"            "Unholy Rage"
        "DOTA_Tooltip_modifier_item_satanic_9_unholy_Description"            "Lifesteal increased."

        "DOTA_Tooltip_Ability_item_satanic_10"            "Satanic 10"
        "DOTA_Tooltip_ability_item_satanic_10_Description"            "<h1>Active: Unholy Rage</h1>Increases Lifesteal percentage to %unholy_lifesteal_total_tooltip%%% for %unholy_duration% seconds. \n<h1>Passive: Lifesteal</h1>Heals the attacker for %lifesteal_percent%%% of attack damage dealt."
        "DOTA_Tooltip_ability_item_satanic_10_Lore"            "Immense power at the cost of your soul."
        "DOTA_Tooltip_ability_item_satanic_10_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_satanic_10_bonus_damage"            "+$damage"
        "DOTA_Tooltip_ability_item_satanic_10_status_resistance"            "%+Status Resistance"
        "DOTA_Tooltip_modifier_item_satanic_10_unholy"            "Unholy Rage"
        "DOTA_Tooltip_modifier_item_satanic_10_unholy_Description"            "Lifesteal increased."

