        // -------------------------------------
        // Manta Style
        // -------------------------------------

        "DOTA_Tooltip_Ability_item_manta_2"            "Manta Style 2"
        "DOTA_Tooltip_ability_item_manta_6_Description"            "<h1>Active: Mirror Image</h1>Creates %images_count% images of your hero that last %tooltip_illusion_duration% seconds. <br><br>Melee images deal %tooltip_damage_outgoing_melee%%% damage and take %tooltip_damage_incoming_melee_total_pct%%% damage, while Ranged images deal %tooltip_damage_outgoing_ranged%%% and take %tooltip_damage_incoming_ranged_total_pct%%% damage. <br><br>Cooldown increased by %tooltip_ranged_cooldown_increase% seconds on ranged heroes.<br><br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_manta_6_Note0"            "Has a %invuln_duration% second cast time during which you are invulnerable."
        "DOTA_Tooltip_ability_item_manta_6_Note1"            "Many effects are removed upon using Manta."
        "DOTA_Tooltip_ability_item_manta_6_Note2"            "Yasha based movement speed bonuses from multiple items do not stack."
        "DOTA_Tooltip_ability_item_manta_6_Lore"            "An axe made of reflective materials that causes confusion amongst enemy ranks."
        "DOTA_Tooltip_ability_item_manta_6_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_manta_6_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_manta_6_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_manta_6_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_manta_6_bonus_move_speed"            "+$move_speed"

        "DOTA_Tooltip_Ability_item_manta_7"            "Manta Style 7"
        "DOTA_Tooltip_ability_item_manta_7_Description"            "<h1>Active: Mirror Image</h1>Creates %images_count% images of your hero that last %tooltip_illusion_duration% seconds. <br><br>Melee images deal %tooltip_damage_outgoing_melee%%% damage and take %tooltip_damage_incoming_melee_total_pct%%% damage, while Ranged images deal %tooltip_damage_outgoing_ranged%%% and take %tooltip_damage_incoming_ranged_total_pct%%% damage. <br><br>Cooldown increased by %tooltip_ranged_cooldown_increase% seconds on ranged heroes.<br><br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_manta_7_Note0"            "Has a %invuln_duration% second cast time during which you are invulnerable."
        "DOTA_Tooltip_ability_item_manta_7_Note1"            "Many effects are removed upon using Manta."
        "DOTA_Tooltip_ability_item_manta_7_Note2"            "Yasha based movement speed bonuses from multiple items do not stack."
        "DOTA_Tooltip_ability_item_manta_7_Lore"            "An axe made of reflective materials that causes confusion amongst enemy ranks."
        "DOTA_Tooltip_ability_item_manta_7_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_manta_7_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_manta_7_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_manta_7_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_manta_7_bonus_move_speed"            "+$move_speed"

        "DOTA_Tooltip_Ability_item_manta_8"            "Manta Style 8"
        "DOTA_Tooltip_ability_item_manta_8_Description"            "<h1>Active: Mirror Image</h1>Creates %images_count% images of your hero that last %tooltip_illusion_duration% seconds. <br><br>Melee images deal %tooltip_damage_outgoing_melee%%% damage and take %tooltip_damage_incoming_melee_total_pct%%% damage, while Ranged images deal %tooltip_damage_outgoing_ranged%%% and take %tooltip_damage_incoming_ranged_total_pct%%% damage. <br><br>Cooldown increased by %tooltip_ranged_cooldown_increase% seconds on ranged heroes.<br><br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_manta_8_Note0"            "Has a %invuln_duration% second cast time during which you are invulnerable."
        "DOTA_Tooltip_ability_item_manta_8_Note1"            "Many effects are removed upon using Manta."
        "DOTA_Tooltip_ability_item_manta_8_Note2"            "Yasha based movement speed bonuses from multiple items do not stack."
        "DOTA_Tooltip_ability_item_manta_8_Lore"            "An axe made of reflective materials that causes confusion amongst enemy ranks."
        "DOTA_Tooltip_ability_item_manta_8_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_manta_8_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_manta_8_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_manta_8_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_manta_8_bonus_move_speed"            "+$move_speed"

        "DOTA_Tooltip_Ability_item_manta_9"            "Manta Style 9"
        "DOTA_Tooltip_ability_item_manta_9_Description"            "<h1>Active: Mirror Image</h1>Creates %images_count% images of your hero that last %tooltip_illusion_duration% seconds. <br><br>Melee images deal %tooltip_damage_outgoing_melee%%% damage and take %tooltip_damage_incoming_melee_total_pct%%% damage, while Ranged images deal %tooltip_damage_outgoing_ranged%%% and take %tooltip_damage_incoming_ranged_total_pct%%% damage. <br><br>Cooldown increased by %tooltip_ranged_cooldown_increase% seconds on ranged heroes.<br><br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_manta_9_Note0"            "Has a %invuln_duration% second cast time during which you are invulnerable."
        "DOTA_Tooltip_ability_item_manta_9_Note1"            "Many effects are removed upon using Manta."
        "DOTA_Tooltip_ability_item_manta_9_Note2"            "Yasha based movement speed bonuses from multiple items do not stack."
        "DOTA_Tooltip_ability_item_manta_9_Lore"            "An axe made of reflective materials that causes confusion amongst enemy ranks."
        "DOTA_Tooltip_ability_item_manta_9_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_manta_9_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_manta_9_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_manta_9_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_manta_9_bonus_move_speed"            "+$move_speed"

        "DOTA_Tooltip_Ability_item_manta_10"            "Manta Style 10"
        "DOTA_Tooltip_ability_item_manta_10_Description"            "<h1>Active: Mirror Image</h1>Creates %images_count% images of your hero that last %tooltip_illusion_duration% seconds. <br><br>Melee images deal %tooltip_damage_outgoing_melee%%% damage and take %tooltip_damage_incoming_melee_total_pct%%% damage, while Ranged images deal %tooltip_damage_outgoing_ranged%%% and take %tooltip_damage_incoming_ranged_total_pct%%% damage. <br><br>Cooldown increased by %tooltip_ranged_cooldown_increase% seconds on ranged heroes.<br><br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
        "DOTA_Tooltip_ability_item_manta_10_Note0"            "Has a %invuln_duration% second cast time during which you are invulnerable."
        "DOTA_Tooltip_ability_item_manta_10_Note1"            "Many effects are removed upon using Manta."
        "DOTA_Tooltip_ability_item_manta_10_Note2"            "Yasha based movement speed bonuses from multiple items do not stack."
        "DOTA_Tooltip_ability_item_manta_10_Lore"            "An axe made of reflective materials that causes confusion amongst enemy ranks."
        "DOTA_Tooltip_ability_item_manta_10_bonus_strength"            "+$str"
        "DOTA_Tooltip_ability_item_manta_10_bonus_agility"            "+$agi"
        "DOTA_Tooltip_ability_item_manta_10_bonus_intellect"            "+$int"
        "DOTA_Tooltip_ability_item_manta_10_bonus_attack_speed"            "+$attack"
        "DOTA_Tooltip_ability_item_manta_10_bonus_move_speed"            "+$move_speed"

